tweet,class
"@vox_es La condena de la arandina, es un claro y nítido caso de corrupción judicial y aunque todavía no sea firme, dichos jueces han puesto en evidencia que sobre la inocencia, prima el castigo más exarcebado para contentar a quienes le dirigen.",Yes
"@cayetanaAT Vete al pedo, payasa en funciones.",Yes
"@cayetanaAT Trite ignoramterastrera par chupar del bote.
Ni puta idea de que es politica ni que es el pueblo.
Hechate un revocon a ver si se te quita esta mala leche",Yes
"@FedericoHaDicho @karloxt1 Ni son canallas los del Arandina, ni los de Pamplona.

Los primeros mi tocaron a la tipa ( q no tiene pruebas), los segundos accedieron a hacer realidad su fantasía de sexo en grupo ( y aportaron 3 videos como prueba).

El juez González fue el único q no prevaricó.",Yes
"@cayetanaAT Pedazo vaga eres, bonita
Cómo muchos españoles a currar que todavía no os habéis ganado el sueldo. Lleváis dos años tomándonos el pelo, así que a currar. Y si no como en cualquier empresa sería, a la puta calle y sin cobrar",Yes
"@MaMechecastro74 @Martinminguchi @PatricioMery La seuda ""Greta"" te da lecciones de política, algo que ni leyendo mil veces podrás entender pelotuda..",Yes
@monasterioR Los comunistas están en Cuba. Y tú estás en la parra. Loca del coño.,Yes
Le escribo a la zorra de Laura y Greta!! Ninguna me contesta 🤦‍♀️🤦‍♀️,Yes
"@InesArrimadas @CiudadanosCs Señora @InesArrimadas como profesora de Universidad le digo: De verdad, se cree que por tener un título tiene derecho a colocarse por encima de los demás? Tuvo que ser muy difícil escuchar la lúcida intervención @Adrilastra NO sea patética.",Yes
"@InesArrimadas Ones, más tonta, q lo que llevas entremedio, que cojones pides, si tienes 10 D, deja de chupar del bote, deja la política, o mejor, vete a Génova 13,estran encantado de ser asesora de cayetana, vas a hundir todavía más a cs, al país no te necesita, as demostrado q eres patetica",Yes
"@InesArrimadas Ya tenemos a la payasa de nuevo en acción... Inés, esto no es Salvame Deluxe https://t.co/OrEtEGFwej",Yes
"@cayetanaAT Claro Caye, como tu has ido siempre al concierto de Sant Esteve, vete un poco a cagar pesada, y cuando hables sobre lo que pasa en CataluNYa piensa en tus míseros votos PATÉTICA",Yes
"@InesArrimadas Estás loca, el odio te ha trastornado. 
La buena noticia es que tiene tratamiento.",Yes
@LaFallaras Y que ? Acaso tienes perjuicios payasa,Yes
@AnabelAlonso_of Callete la PUTA boca!!!!!!!!,Yes
Hahaha en la cara Greta Majareta! Estudia algo y habla menos https://t.co/O0CbncbfBi,Yes
"@LaFallaras Y como una puta cabra, tb estás.",Yes
Los de #HermanaYoSiTeCreo en favor de la víctima de la Arandina no se han leído la sentencia.,Yes
"@InesArrimadas Acabaras com la Rosa Diez, com un llum. LA LOCA LOS GATOS",Yes
"@InesArrimadas se llama historia, payasa",Yes
"@LaFallaras Por favor, hagase eco de la hija de la gran puta que asesinó a su hija de 5 años y cuyo padre se ha quedado sin lo que más amaba por que una asesina lo decidió. Si no pierde toda credibilidad, farsante.",Yes
@susanadiaz @sanchezcastejon @CiudadanosCs Eres una perdedora patetica,Yes
Puta greta https://t.co/SpsPocHkzb,Yes
Bolsonaro califica de «mocosa» a Greta Thunberg y ella le responde en Twitter https://t.co/ek9K8Ca9PU,Yes
"@cayetanaAT Estoy segura de que si ETA siguiese matando tu,asquerosa,estarias callada y escondida. Eres la típica hija de puta envalentonada porque sabe que no le puede pasar nada. Se te tenían que aparecer los muertos y pedirte cuentas,so desgracià.",Yes
"la persona del año para la revista Times es greta nosequemierda. Chicos, una pendeja millonaria que viaja en velero por el mundo diciendo lo mismo que todos los chicos de su edad. De verdad? Esta bien que el mundo se acabe.",Yes
@cayetanaAT Patetica!!!,Yes
"@AdaColau Ado, no seas mentiroso. Y por favor, a ver si te das cuenta de una puta vez q:
- no eres presidenta de plataformas contra Contra desahucios.
- estudia bien las competencias de tu cargo.
- usar el ayuntamiento para atacar empresas privadas y lavar tu imagen e incompetencia...NO",Yes
@cayetanaAT Acuestate q el azucar del turron te ha subido a la cabeza y tienes a la neurona loca perdida,Yes
"@LaFallaras @voxpopul El violador lo será tu puta madre, que ya está bien hombre, hartita  tenéis a la sociedad ya, no sabéis más que sembrar odio por que sólo proyectáis el que sentís por vosotras mismas.",Yes
@LaFallaras @ahorapodemos @iunida @publico_es Eso corre loca que se os acaba el chiringuito,Yes
"@Eruoce @vox_es Este hilo surge a raíz del caso Arandina, donde NO ha existido ninguna violación, cualquier persona con sentido común entiende que 38 años por una felacion es algo totalmente desproporcionado",Yes
"gracias Víctor aka mi profe de cívica uno de los mejores que tuve jamás x hacerme saber que esta es una pelotuda porque lo que dice Greta (16 (DIECISÉIS) AÑOS) es q el poder está en el pueblo que hace ruido y protesta por sus derechos y por un mundo mejor
no en un tuit inculto https://t.co/TAwzyYwPQo",Yes
"@LaFallaras Pero q coño estás diciendo !!!! 4 de cada 10!!! Ostia puta q imbecil que eres, y mentirosa!!!!",Yes
@AnabelAlonso_of Cerda,Yes
hizo más que la estúpida de greta no se que verga en toda su campaña ridicula https://t.co/sxdes36PiT,Yes
"@InesArrimadas Otra nazi que se va a la mierda 💩 en 3,2,1, es patética, ya nadie se traga tus bolas gilipollas",Yes
Mocosa insolente... https://t.co/aNBIsTte6M Leído en Diarios Argentinos https://t.co/rx25Ve0oJV @diariosargapp,Yes
"@InesArrimadas llorando para que uno de los 120 diputados del PSOE haga decaer la investidura. Chica, ya basta, eres patética.",Yes
@LaFallaras @ahorapodemos @iunida @PSOE @Esquerra_ERC @compromis @SofCastanon @Adrilastra @Irene_Montero_ @abrazopartio @AAlvarezAlvarez @gabrielrufian @Pablo_Iglesias_ @agarzon Tu serías la más hija de puta de mauthausen.,Yes
Almmmmm como te mama hablar de los demás pinche morra estupida,Yes
@InesArrimadas que patética eres!!!!!! https://t.co/HVPK735Mqc,Yes
"La Greta esa sí q es lista con 15 años no va al instituto, quejándose de cosas que no tiene ni puta idea, cobrando 500.000 por cada charla y encima dice que le hemos quitado la infancia y yo aquí estudiando como un matao",Yes
"@InesArrimadas Patetica , repetitiva, mentirosa . Cuando hablas de corrupcion , con quien gobiernas en Andalucia, Madrid, CyL?",Yes
@GretaThunberg Como puedes ser tan tonta. Si viajabas en primera clase y te trataron como 1 reina. Eso no lo dices? Y seguro k mo pagaste el viaje. Como tampoco el hotel en Madrid y todas las payasadas k haces. Espero k no vuelvas a España porque eres 1 ridícula marioneta,Yes
@_AllaMiaEta Peor que Greta. Greta da menos pena ajena que está tonta diciendo estupideces,Yes
@AdaColau @openarms_fund Estas loca de remate.Internate,Yes
@la_patilla Ósea que ella cree que el hombre más importante del mundo no tiene influencia en salvar el planeta . Estupida Greta,Yes
"@MiamiVox Pues ya conozco 2 casos más de pedirles dinero.
El juicio de la, Arandina E lo que ha traído. 

Y los pobres que pagarán.",Yes
@Cannabianol Greta puta,Yes
"Volveré a publicar esto porque quiero que la gente sepa que Greta Thunberg no solo es una niña con antifa, sino que le gusta disparar. Me parece una agencia muy payasa. https://t.co/txSWFV8OUJ",Yes
Greta puta :),Yes
"@InesArrimadas Que inútil eres, que cortita eres, que ilusa eres,  que patética sigues siendo",Yes
nada mas llegar a barcelona entro al metro y hay un pavo gritando un discursito de por que greta thumberg esta loca,Yes
@cesarolse No pero Greta es una niña estúpida q dice mentiras,Yes
@LaFallaras 4 de cada 10 hombres son puteros?? Y eso te lo ha contado tu padre o tu Puta madre?,Yes
@LaFallaras Si estas con bildu eres una etarra... y por consiguiente una hija de la gran puta.,Yes
Que malaaaaaa lechee puta greta pero quieen es esa niñaaaa. El bombo que la querais daaar que sabe ella de ma vida que monolgos tiene que daaaaaar deee verdad,Yes
@InesArrimadas @jjrr99 @elmundoes Claro que sí poligonera y tú de ministra de Educación con esa boquita de piñón que tienes loca,Yes
"La revista @TIME se ha prestado para el Timo, en muchas ocasiones. Ya había ocurrido con Hitler en 1938. Hoy @GretaThunberg, una Progre ""niña mocosa"" (@jairbolsonaro dixit), q designan Persona del Año, porq parece q ha salvado al mundo cuando no ha hecho un coño. #NoMeJodan https://t.co/eVYK0zDhmc",Yes
"ustedes: lo de greta thunberg es admirable 🙌🏻😍💪🏻✊🏻
also ustedes: ofelia fernandez? tremenda estupida es muy joven y gorda",Yes
"@InesArrimadas 10 escaños, loca del coño.",Yes
"@monasterioR @julia_otero Religión quereis imponer vosotr@s con la puta iglesia, zorra.",Yes
@GretaThunberg Tu eres gilipollas!,Yes
@InesArrimadas No tienes ni puta idea!,Yes
"#MarchaPorElClima en la TV dicen que los niños preguntan, ¿Donde está Greta? Niños os diré donde debería estar, EN EL PUTO COLEGIO.",Yes
@InesArrimadas Jajajja revienta zorra ... ahora vas y lo cascas a los jueces europeos a la 💩 contigo 🎗🎗🎗🎗🖕,Yes
@InesArrimadas No te canses patética. Habrá gobierno y tu seguiras ladrando a la luna.,Yes
@YolandaRuizCe Malala es una buena mujer la greta es una loca que predica pero no aplica,Yes
"2019 
- fanta sabor semen
- argentina en la shit 
- mexico mas dividido que la chingada igual que tus papas 
- area 51 
- los putos tenis FILA 
- tik tok 
- el pais lleno de violencia 
- ya ni tengo puta skill en r6
- el anime dalas 
- peluchin y los demas mecos
- greta tu verga https://t.co/vS8yXoNOSG",Yes
"@AnabelAlonso_of Por culpa de lerdas como tú, ahora estamos de puta madre.",Yes
@InesArrimadas Calla mala puta.,Yes
"@LaFallaras @CristinaSegui_ @alfonso_ussia @bertrandmyd @publico_es ERES PATETICA, COMO PERSONA Y COMO MUJER¡¡¡¡¡¡¡",Yes
"@Irene_Montero_ patetica, solo te ha faltado llorar. No se puden decir mas disparatesven menos tiempo , pero tus acolitos te aclamaran.",Yes
@InesArrimadas LOCA...... ERES LOOOCA,Yes
@LaFallaras @paulasusaetas @emesotomayor Hay que estar subnormal  para leer a una loca alcoholica,Yes
"@InesArrimadas @CiudadanosCs Se llama democracia, payasa facha fracasada...",Yes
"@InesArrimadas Eres patética,lo tuyo no tiene cura,cuanto más #MontesElPollo, más ridícula eres.",Yes
"@Robespierredea2 @PorRobledo @pnique Seguro que también opinas lo mismo de la Greta majareta, que también debería estar en el colegio. ¿ o esa como es comunista puede estar donde quiera?",Yes
@Irene_Montero_ @MayoralRafa @Yolanda_Diaz_ @AntonGomezReino @Pam_Angela_ Hija perra,Yes
@OsogordoIntenso hagamos un hilo sobre la hija de mil puta de Greta Thumberga?,Yes
@Richi1078 @WRadioColombia @GretaThunberg Por lo menos hace mucho más que tú y tu puta madrecita.... https://t.co/AWcv3TW4Go,Yes
"Esto lo ha visto histérica Greta????
Lo sabe el felón???
Y el miserable e hipócrita Bardem?
Y....R. Gere????

Uffff qué disgusto se van a llevar cuándo se enteren...😱😯🤔🤔🤔 https://t.co/dMRFva7UKc",Yes
"@GretaThunberg Cállate de una puta vez por dios, que pareces una muñeca programada, ahora la culpa es de la gente, excluyendo empresas y políticos que les firman lo que sea. Esta niña debe dejar de fomentar estas putas barbaridades, espero que le estén dando dinero por lo q suelta de su boca.",Yes
@el_pais Y ponen a la loca esquizofrenia de Greta Thunberg como símbolo de los que tienen 22 años 😂😂😂😂,Yes
"@InesArrimadas Montapollos @InesArrimadas  coge a tus 9 Diputados y vete a tomar por saco, patética facha neurótica, FUCK Arrimadas",Yes
"Me gustó caleta la dirección de Greta Gerwig. La loca tiene un control sobre el montaje que es impresionante, su uso de los colores es de todo mi gusto y lo que mas me impresionó es sentir que la película tomaba rumbos diferentes dependiendo de si habían o no hombres en escena.",Yes
"@LaFallaras Calla petarda, que si no fuera por el cuento feminista del que vives, estsrias viviendo en la puta calle por no haber currado en la puta vida",Yes
@cayetanaAT Miserable hija de puta,Yes
Dudu es el verdadero heroe activista que necesitamos y no a la puta greta,Yes
@cayetanaAT Cállate perra indolente,Yes
@AdaColau Eres gilipollas y lo sabes. Payasa,Yes
"@monasterioR Joder, Rocío, parece que tú has ido al cine no a ""emborracharte de ideología"", más parece que hayas ido borracha de tú sabrás qué, y no has entendido una puta mierda mierda.",Yes
"@AnabelAlonso_of Qué vergueza de tuit, payasa",Yes
@GretaThunberg Ojalá digas la verdad de quienes t financian y dejes de ser una puta pendeja malcriada nena de mamá y papá comunista q aman los dólares y euros,Yes
@LaFallaras @populares @CiudadanosCs Tus padres tienen que ser hermanos mínimo  xk sino salir así es imposible 🤮🤮 puta cínica de mierda 🤮🤮🤮,Yes
@LaFallaras Puta?La gente no está tan desesperada para ir contigo ni pagando,Yes
"@InesArrimadas @EFEnoticias LO VERGONZOSO ESQUE UNA TIPA COMO TU ESTE EN POLITICA, MONTA POLLOS ,GENERA ODIO ENTRE ESPAÑOLES, MIENTES COMO UNA LOCA, MANIPULAS TODO Y A TODOS,
ERES UN VENENO Y EL CANCER DE ESTE PAIS,  OS QUEDAN MENOS DE CUATRO AÑOS
TIC TAC TIC TAC.",Yes
"@monasterioR Ideología de mi coño, puta nazi de mierda!",Yes
@monasterioR @julia_otero Yo creo que ésta estúpida no sabe si está delante de un tractor ó de un tanque 💩💩,Yes
@monerohernandez Greta la loca 😀,Yes
"@GretaThunberg Chupame la pija pendeja zurda.

#2019in5words",Yes
SOY LA UNICA PELOTUDA QUE LE DA MIEDO VOMITAR? 🤔😭,Yes
"bien por Bolsonaro, es una estúpida la greta y unos vividores los que la están utilizando https://t.co/540cLnLEL0",Yes
@coco_marfil @Adolfoantifaz Greta Majareta pasa de eso,Yes
@Mrlopera__ Don manue verdad... y la greta? Ande se ha metio?! Ha Huido la perra...,Yes
"@InesArrimadas Vete un poquito solo un poquito a la puta MUERDA.
DEGENERADA",Yes
"@Frank_Cuesta Donde está la ""marioneta Greta""?, de paseito de nuevo en catamaran?, no trabaja, no colabora, tampoco estudia, a qué se dedica la nena? a dar charlas ""vacias"" sobre calentamiento global??? YO si tengo la cabeza CALIENTE de escuchar sus grititos de monjita histérica!!!. Pobretica",Yes
"@cayetanaAT Ves para Argentina que falta gente, payasa",Yes
"Le dije: te regalo mi corazón y la hija de puta lo tomó literal.

*Ojo con los que se la pasan prometiendo bajar la luna que las consecuencias podrían ser catastróficas y Greta Thumberg se encabrona mal. https://t.co/7fTsofUX12",Yes
@InesArrimadas @jguaido Y a ti qué cojones te importa. SO PAYASA!!!!,Yes
"SIEMPRE GENIAL BOLSONARO..!!!
JA..JA..!!!
CLARO QUE ES UNA MOCOSA Y CON UNA CARA DE ODIO QUE NO SE AGUANTA..!!! https://t.co/fIBBKPWqJq",Yes
"@DarthVaderATM Tu puta madre Greta, déjame en Paz!..",Yes
"@monasterioR @julia_otero Querida @monasterioR,
Con todo el respeto, quería decirle que usted está muy loca del coño, pero muy loca.
Es verla en televisión y es que da miedo con su extraña hiperactividad y falta de coherencia en su discurso. Por favor vaya a un buen profesional. Respeto y saludos.",Yes
Greta Thunberg deja de joder y ve a estudiar estupida,Yes
@InesArrimadas Eres la mejor payasa de este circo llamado España. De verdad. Felicidades. Eres como Jesucristo pero convirtiendo el agua en gasolina. Brillante. Explosivo. Como solo la mejor pirómana podría hacerlo. Los que no queremos ver un gobierno estable te lo agradecemos. 👏👏👏😍😚😉👍,Yes
"@LaFallaras @MagdalenaProust @AnagramaEditor Pues hala, que se lo traguen los que quieran.... me recuerdas muchísimo a la loca de la madre de Carrie en la película... fanática hasta los huesos.",Yes
"@cayetanaAT Hija de la GRAN PUTA, dedícate a celebrar san Franquito..... Es lo tuyo",Yes
@greta_lo Que cabrona la greta jajajaja https://t.co/klMOTcGYp7,Yes
@InesArrimadas Frenate tu loca nazi!!!! Vas por muy mal camino!!!!,Yes
"El por culo q están dando con la @GretaThunberg ( una puta cria q va dando lecciones de moral y es la primera q no hace nada ) , las palabras vuelan y se las lleva el viento . Ns como hay subnormales q se creen las cosas de esta payasa",Yes
"@Irene_Montero_ Lo dice la de ""rodea el congreso"", ""alerta antifascista"". Lo dice la experta en los ""scratches"". Eres patética.",Yes
"Si después d escuchar los audios y d leerte la sentencia del caso de los jugadores del Arandina sigues defendiendo a la chica,tienes un problema grave. No por na,sino xq son pruebas q las estás viendo en tu puta cara

Y ojo,no defender a la chica no significa defender a los otros",Yes
"@LaFallaras Ando un poco perdido.
Cuando te refieres a la adolescente violada te refieres a la golfa esa de la que hablan en las redes?",Yes
IGUAL GRETA COZZOLINO LA PUTA MADRE KE MUJER pero bueno ella tmb es simpática al menos (?,Yes
@monasterioR @24h_tve Eres tonta pa' aburrir además de ignorante y demagogia patética .,Yes
Bolsonaro llama «mocosa» a Greta Thunberg tras sus críticas a los asesinatos de indígenas en Brasil https://t.co/0Csgha2M6o #EpicFail #TontosSinFronteras #PoliticosSinVergüenza #PaisDeSamba,Yes
"@Antonio_CotaR @mimendalirenda @24h_tve @GretaThunberg No seas analfabeto por favor ...

La prox vez necesites un cirujano llamas a una actriz de cabaret, ya que piensas que así se maneja el tema 

Esta histérica Ni presenta evidencia ni transmite nada .  Es eso, mas nada ... histeria colectiva.",Yes
@AnabelAlonso_of Estúpida e imbécil,Yes
"@dieeegonzzalezz Greta Thunberg, no es nada en contra del ecologismo estoy a favor esque la puta niña repelente me cae mu mal",Yes
"@LaFallaras Ostia tú, una payasa",Yes
@RevistaSemana @GretaThunberg @SosSemana Pendeja no se baña y hablando guevonadas https://t.co/ldq8OV1ML3,Yes
"@LaFallaras Ni loby ,ni loba , eres payasa comunista, por cierto el comunismo está penado en la zona euro aplícate el cuento.",Yes
@cayetanaAT perra!,Yes
@LeticiaDolera Eres la tía más patética que he visto,Yes
@InesArrimadas Pero que dices loca!! 😂😂😂 https://t.co/FXjEqit2KX,Yes
@cayetanaAT ¿Usted habla de odio?. Su discurso agitando a la extrema derecha debería de no dejarla dormir. Es patética!,Yes
"Marico quien coño de tu puta madre es greta? Q aporta ella? Q dice de bueno? Tu crees q esa maldita tiene el conocimiento para enfrentarse a una persona como Trump? D bolas que no, es la tipica carajita envidiosa y resentida q busca fama a base d ser un juguete de los democratas https://t.co/HEVVy0fjBA",Yes
algo así tenes que hacer @GretaThunberg y no solo poner cara de pelotuda en los discursos! https://t.co/6hfAn2PUUj,Yes
"@LeticiaDolera Pero a ver, desde cuando tu opinión es importante?
Vete a despedir a embarazadas payasa de mierda",Yes
"@Irene_Montero_ Chica, cada día eres más golfa.",Yes
@AnabelAlonso_of Eres una puta bocazas... ve yendo al geriátrico que estas ya un poco en plan abuela cascarrabias,Yes
"@AnabelAlonso_of 133 muertes, por el momento y usted no se muere de vergüenza? De verdad es tan estúpida?",Yes
"@24h_tve @GretaThunberg Payasa mocosa, títere del progresismo comunista.",Yes
"@_esther_sanz @harryelsocio Ostras! El novio ideal de Greta Majareta! Un First Dates ya, por favor. 
Pero con subtítulos, o solo le entenderán en su pueblo.",Yes
@DocMalito777 Uhh la pendeja Greta va a llegar justito.. 😂😂 https://t.co/mBZjnCMcqs,Yes
"@susanadiaz @ParlamentoAnd Pero que cerda eres Susanita,  porque no te exilias, y deja en paz a Andalucia,",Yes
@cayetanaAT Payasa tu si que eres sordida,Yes
@InesArrimadas @Susanna8138 De verdad eres tan patética? Montapollos,Yes
@ELTIEMPO Greta histórica? Más bien histérica.. 🤨,Yes
"Greta Thunberg:
Un producto de marketing para gilipollas.
Efectivamente, la pequeña revolucionaria del clima es un timo. 
Resulta que zarpa desde Virginia en un catamarán. 
Hilo:",Yes
yo no puedo creer esta pelotuda de greta tunver que literalmente lo unico que hizo fue decir how dare you en frente todos fue nominada al premio nobel de la paz para eso nomínenme a mi que soy re pacifico estoy todo el día acostado,Yes
"Greta la niña ""*tonta del bote*"".
https://t.co/bH58WjpEPk",Yes
@InesArrimadas Valiente hay que ser para aguantarte a ti. Loca!!!,Yes
"@LaFallaras Borracha,guarra, marrana,cerda , cochina",Yes
"Qué cabrona eres, Greta. Cuando ya tod@s tenemos casi cerrados nuestros Tops del año, vienes tú y fastidias la lista...
#MujercitasLaPelícula va directa a lo mejor de 2019 https://t.co/6PJDakWTNH",Yes
La Greta Thunberg como la gran puta viendo como gastas en auto hoteles en vez de chimar ecológicamente en el monte. https://t.co/R7DWSHxgx6,Yes
