DailyRate,EmployeeCount,EmployeeNumber,Age,Gender,Education,EducationField,JobRole,Department,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,BusinessTravel,DistanceFromHome,OverTime,MaritalStatus,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
1031,1,151,34,Female,4,Life Sciences,Research Scientist,Research & Development,3,2,2,3,3,3,Travel_Rarely,6,No,Divorced,4505,1,0,0,No
1189,1,152,37,Male,3,Life Sciences,Sales Executive,Sales,3,3,4,3,1,3,Travel_Rarely,3,No,Single,7428,5,3,1,No
1354,1,153,34,Female,3,Medical,Manager,Research & Development,3,2,1,3,4,3,Travel_Rarely,5,No,Single,11631,11,10,5,No
1467,1,154,36,Female,2,Technical Degree,Sales Executive,Sales,2,3,4,3,3,3,Travel_Frequently,11,No,Married,9738,9,7,2,No
922,1,155,36,Female,2,Life Sciences,Laboratory Technician,Research & Development,1,3,4,4,1,3,Travel_Rarely,3,No,Divorced,2835,1,0,0,No
394,1,158,43,Male,2,Life Sciences,Manager,Sales,3,3,4,3,4,4,Travel_Frequently,26,Yes,Married,16959,25,12,4,No
1312,1,159,30,Male,3,Life Sciences,Research Scientist,Research & Development,1,1,3,4,3,2,Travel_Frequently,23,No,Divorced,2613,10,7,0,No
750,1,160,33,Male,2,Marketing,Sales Executive,Sales,3,3,2,3,1,4,Non-Travel,22,No,Married,6146,7,7,0,No
441,1,161,56,Female,4,Life Sciences,Research Scientist,Research & Development,2,3,2,3,1,3,Travel_Rarely,14,Yes,Married,4963,5,4,4,Yes
684,1,162,51,Male,3,Life Sciences,Research Director,Research & Development,1,3,3,3,3,3,Travel_Rarely,6,No,Single,19537,20,18,15,No
249,1,163,31,Male,4,Life Sciences,Sales Executive,Sales,2,1,3,3,2,2,Travel_Rarely,6,Yes,Married,6172,7,7,7,Yes
841,1,164,26,Female,3,Other,Research Scientist,Research & Development,3,2,2,3,3,2,Travel_Rarely,6,No,Married,2368,5,4,4,No
147,1,165,58,Female,4,Medical,Healthcare Representative,Research & Development,4,3,4,3,4,2,Travel_Rarely,23,No,Married,10312,40,10,15,Yes
528,1,167,19,Male,1,Marketing,Sales Representative,Sales,4,3,3,3,4,2,Travel_Rarely,22,Yes,Single,1675,0,0,0,Yes
594,1,169,22,Male,1,Technical Degree,Laboratory Technician,Research & Development,3,3,4,3,3,3,Travel_Rarely,2,No,Married,2523,2,1,2,No
470,1,170,49,Female,4,Medical,Manufacturing Director,Research & Development,3,3,1,3,3,2,Travel_Rarely,20,No,Married,6567,15,11,5,No
957,1,171,43,Female,3,Medical,Research Scientist,Research & Development,2,4,3,3,4,3,Travel_Frequently,28,No,Single,4739,3,2,1,No
809,1,174,50,Female,3,Marketing,Sales Executive,Sales,3,3,4,3,4,3,Travel_Frequently,12,No,Single,9208,2,2,2,No
542,1,175,31,Female,3,Life Sciences,Sales Executive,Sales,2,1,3,3,3,3,Travel_Rarely,20,Yes,Married,4559,2,2,2,Yes
802,1,176,41,Male,1,Life Sciences,Sales Executive,Sales,3,3,3,3,3,3,Travel_Rarely,9,Yes,Divorced,8189,9,7,0,No
1355,1,177,26,Female,1,Life Sciences,Human Resources,Human Resources,3,3,3,4,4,3,Travel_Rarely,25,No,Married,2942,8,7,5,No
216,1,178,36,Male,2,Medical,Manufacturing Director,Research & Development,2,3,2,4,4,3,Travel_Rarely,6,No,Divorced,4941,3,2,0,No
1150,1,179,51,Male,4,Life Sciences,Manufacturing Director,Research & Development,1,1,4,3,4,3,Travel_Frequently,8,No,Single,10650,4,2,0,Yes
1329,1,182,39,Female,4,Life Sciences,Sales Executive,Sales,4,2,3,3,3,4,Travel_Rarely,4,No,Married,5902,15,11,5,No
959,1,183,25,Male,3,Life Sciences,Sales Executive,Sales,1,2,3,3,4,3,Travel_Rarely,28,No,Married,8639,2,2,2,No
1240,1,184,30,Male,3,Human Resources,Human Resources,Human Resources,3,3,4,3,4,1,Travel_Rarely,9,Yes,Married,6347,11,9,4,No
1033,1,190,32,Female,3,Medical,Laboratory Technician,Research & Development,1,3,1,4,1,4,Travel_Rarely,9,No,Single,4200,5,4,0,Yes
1316,1,192,45,Male,3,Medical,Research Scientist,Research & Development,3,3,4,3,2,2,Travel_Rarely,29,No,Single,3452,6,5,0,No
364,1,193,38,Female,5,Technical Degree,Research Scientist,Research & Development,4,3,3,4,2,3,Travel_Rarely,3,Yes,Single,4317,3,2,2,No
438,1,194,30,Female,3,Life Sciences,Research Scientist,Research & Development,1,3,3,3,3,2,Travel_Rarely,18,No,Single,2632,5,4,0,No
689,1,195,32,Male,2,Medical,Sales Executive,Sales,4,1,4,3,4,4,Travel_Frequently,9,No,Divorced,4668,8,7,0,No
201,1,197,30,Female,3,Technical Degree,Research Scientist,Research & Development,4,3,1,3,4,3,Travel_Rarely,5,No,Divorced,3204,3,2,2,No
1427,1,198,30,Male,1,Medical,Laboratory Technician,Research & Development,2,2,4,3,4,3,Travel_Rarely,2,No,Single,2720,5,3,1,No
857,1,199,41,Male,3,Life Sciences,Manager,Research & Development,4,2,1,3,2,2,Travel_Frequently,10,No,Divorced,17181,7,6,7,No
933,1,200,41,Male,4,Life Sciences,Laboratory Technician,Research & Development,3,3,1,4,4,3,Travel_Rarely,9,No,Married,2238,5,0,1,No
1181,1,201,19,Female,1,Medical,Laboratory Technician,Research & Development,2,3,2,3,4,3,Travel_Rarely,3,No,Single,1483,1,0,0,No
1395,1,202,40,Female,3,Medical,Research Scientist,Research & Development,2,3,2,3,1,3,Travel_Frequently,26,No,Divorced,5605,20,7,2,No
662,1,204,35,Male,5,Marketing,Sales Executive,Sales,3,3,2,3,1,3,Travel_Rarely,1,No,Married,7295,10,8,0,No
1436,1,205,53,Male,2,Marketing,Sales Representative,Sales,2,3,3,4,4,1,Travel_Rarely,6,Yes,Married,2306,7,7,4,No
194,1,206,45,Male,3,Life Sciences,Laboratory Technician,Research & Development,2,3,2,3,3,1,Travel_Rarely,9,No,Divorced,2348,17,9,0,No
967,1,207,32,Female,3,Marketing,Sales Executive,Sales,2,3,4,3,4,3,Travel_Frequently,8,No,Single,8998,9,8,3,No
1496,1,208,29,Male,1,Technical Degree,Manufacturing Director,Research & Development,4,3,3,3,1,3,Non-Travel,1,No,Married,4319,10,7,0,No
1169,1,211,51,Male,4,Medical,Manufacturing Director,Research & Development,2,2,3,3,3,3,Travel_Rarely,7,No,Married,6132,1,0,0,No
1145,1,214,58,Female,3,Medical,Research Scientist,Research & Development,2,2,2,4,2,2,Travel_Rarely,9,Yes,Married,3346,1,0,0,No
630,1,215,40,Male,4,Marketing,Sales Executive,Sales,3,2,4,3,1,2,Travel_Rarely,4,No,Married,10855,12,11,2,No
303,1,216,34,Female,4,Marketing,Sales Representative,Sales,3,3,3,3,4,3,Travel_Frequently,2,No,Married,2231,4,3,1,No
1256,1,217,22,Male,1,Medical,Research Scientist,Research & Development,3,3,4,4,1,3,Travel_Rarely,19,No,Married,2323,2,2,2,No
691,1,218,27,Male,3,Medical,Research Scientist,Research & Development,4,3,2,3,4,1,Non-Travel,9,No,Divorced,2024,2,2,2,No
440,1,221,28,Male,3,Medical,Research Scientist,Research & Development,3,3,4,3,3,1,Travel_Rarely,21,No,Married,2713,5,2,0,No
334,1,223,57,Male,2,Life Sciences,Healthcare Representative,Research & Development,3,4,4,3,2,1,Travel_Rarely,24,Yes,Divorced,9439,5,3,1,No
1450,1,224,27,Male,3,Medical,Research Scientist,Research & Development,3,2,3,3,4,2,Non-Travel,3,Yes,Divorced,2566,1,1,0,No
1452,1,226,50,Female,3,Life Sciences,Manager,Research & Development,3,3,2,3,2,3,Travel_Rarely,11,No,Single,19926,5,4,4,No
465,1,227,41,Male,3,Life Sciences,Research Scientist,Research & Development,1,3,3,3,1,3,Travel_Rarely,14,No,Divorced,2451,9,8,1,No
1339,1,228,30,Female,3,Life Sciences,Sales Executive,Sales,2,3,4,3,3,3,Travel_Rarely,5,No,Married,9419,10,9,7,No
702,1,230,38,Female,4,Life Sciences,Sales Executive,Sales,1,2,4,4,3,4,Travel_Rarely,1,No,Single,8686,8,3,0,No
120,1,231,32,Male,5,Life Sciences,Research Scientist,Research & Development,3,3,3,4,1,3,Travel_Rarely,6,No,Single,3038,5,4,1,No
1157,1,233,27,Male,3,Technical Degree,Research Scientist,Research & Development,3,3,2,3,4,2,Travel_Rarely,17,Yes,Married,3058,5,2,1,No
602,1,235,19,Female,1,Technical Degree,Sales Representative,Sales,3,1,1,4,1,4,Travel_Frequently,1,No,Single,2325,0,0,0,Yes
1480,1,238,36,Male,2,Medical,Laboratory Technician,Research & Development,4,3,2,3,3,2,Travel_Frequently,3,No,Single,2088,8,7,7,No
111,1,239,30,Male,3,Medical,Laboratory Technician,Research & Development,3,3,1,3,3,3,Non-Travel,9,No,Divorced,3072,12,9,6,No
1268,1,240,45,Female,2,Life Sciences,Sales Executive,Sales,3,3,1,3,1,4,Travel_Rarely,4,Yes,Divorced,5006,5,4,0,No
713,1,241,56,Female,3,Life Sciences,Research Scientist,Research & Development,3,3,1,3,3,3,Travel_Rarely,8,Yes,Divorced,4257,2,2,2,No
134,1,242,33,Male,3,Life Sciences,Research Scientist,Research & Development,3,3,4,3,1,4,Travel_Rarely,2,No,Single,2500,3,1,0,No
303,1,243,19,Male,3,Life Sciences,Laboratory Technician,Research & Development,2,2,4,4,3,2,Travel_Rarely,2,No,Single,1102,1,0,1,Yes
526,1,244,46,Female,2,Marketing,Sales Executive,Sales,2,3,1,4,3,3,Travel_Rarely,1,No,Divorced,10453,24,13,15,No
1380,1,245,38,Female,2,Life Sciences,Laboratory Technician,Research & Development,3,3,4,3,3,3,Travel_Rarely,9,No,Single,2288,2,2,2,No
140,1,246,31,Female,1,Medical,Research Scientist,Research & Development,3,3,4,4,3,3,Travel_Rarely,12,Yes,Married,3929,4,2,0,No
629,1,247,34,Female,2,Medical,Research Scientist,Research & Development,4,3,2,3,4,3,Travel_Rarely,27,No,Single,2311,3,2,1,No
1356,1,248,41,Female,2,Marketing,Sales Representative,Sales,2,3,2,4,4,2,Travel_Rarely,20,Yes,Single,3140,4,3,0,Yes
328,1,249,50,Male,3,Medical,Laboratory Technician,Research & Development,3,2,3,3,4,2,Travel_Rarely,1,No,Married,3690,3,2,0,No
1084,1,250,53,Female,2,Medical,Manufacturing Director,Research & Development,4,4,1,3,3,3,Travel_Rarely,13,No,Divorced,4450,4,2,1,No
931,1,252,33,Female,3,Medical,Research Scientist,Research & Development,4,3,2,3,4,3,Travel_Rarely,14,No,Married,2756,8,7,1,No
989,1,253,40,Female,1,Medical,Manager,Research & Development,4,3,3,3,2,3,Travel_Rarely,4,No,Married,19033,20,8,9,No
692,1,254,55,Male,4,Medical,Research Director,Research & Development,3,4,2,3,4,3,Travel_Rarely,14,No,Single,18722,24,15,2,No
1069,1,256,34,Male,1,Life Sciences,Manufacturing Director,Research & Development,4,2,3,3,3,2,Travel_Frequently,2,No,Married,9547,10,9,1,No
