sex,age,who,adult_male,class,alive,alone,sibsp,parch,fare,deck,embark_town,survived?
male,28.0,man,True,First,no,False,1,0,82.1708,,Cherbourg,NO
male,42.0,man,True,First,no,False,1,0,52.0,,Southampton,NO
male,,man,True,Third,yes,True,0,0,7.2292,,Cherbourg,YES
male,21.0,man,True,Third,no,True,0,0,8.05,,Southampton,NO
female,18.0,woman,False,Third,no,False,2,0,18.0,,Southampton,NO
female,14.0,child,False,Third,yes,False,1,0,11.2417,,Cherbourg,YES
female,40.0,woman,False,Third,no,False,1,0,9.475,,Southampton,NO
female,27.0,woman,False,Second,no,False,1,0,21.0,,Southampton,NO
male,,man,True,Third,no,True,0,0,7.8958,,Cherbourg,NO
female,3.0,child,False,Second,yes,False,1,2,41.5792,,Cherbourg,YES
female,19.0,woman,False,Third,yes,True,0,0,7.8792,,Queenstown,YES
male,,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,,man,True,Third,no,False,1,0,15.5,,Queenstown,NO
female,,woman,False,Third,yes,True,0,0,7.75,,Queenstown,YES
male,,man,True,Third,no,False,2,0,21.6792,,Cherbourg,NO
female,18.0,woman,False,Third,no,False,1,0,17.8,,Southampton,NO
male,7.0,child,False,Third,no,False,4,1,39.6875,,Southampton,NO
male,21.0,man,True,Third,no,True,0,0,7.8,,Southampton,NO
female,49.0,woman,False,First,yes,False,1,0,76.7292,D,Cherbourg,YES
female,29.0,woman,False,Second,yes,False,1,0,26.0,,Southampton,YES
male,65.0,man,True,First,no,False,0,1,61.9792,B,Cherbourg,NO
male,,man,True,First,yes,True,0,0,35.5,C,Southampton,YES
female,21.0,woman,False,Second,yes,True,0,0,10.5,,Southampton,YES
male,28.5,man,True,Third,no,True,0,0,7.2292,,Cherbourg,NO
female,5.0,child,False,Second,yes,False,1,2,27.75,,Southampton,YES
male,11.0,child,False,Third,no,False,5,2,46.9,,Southampton,NO
male,22.0,man,True,Third,no,True,0,0,7.2292,,Cherbourg,NO
female,38.0,woman,False,First,yes,True,0,0,80.0,B,,YES
male,45.0,man,True,First,no,False,1,0,83.475,C,Southampton,NO
male,4.0,child,False,Third,no,False,3,2,27.9,,Southampton,NO
male,,man,True,First,no,True,0,0,27.7208,,Cherbourg,NO
male,,man,True,Third,yes,False,1,1,15.2458,,Cherbourg,YES
female,29.0,woman,False,Second,yes,True,0,0,10.5,F,Southampton,YES
male,19.0,man,True,Third,no,True,0,0,8.1583,,Southampton,NO
female,17.0,woman,False,Third,yes,False,4,2,7.925,,Southampton,YES
male,26.0,man,True,Third,no,False,2,0,8.6625,,Southampton,NO
male,32.0,man,True,Second,no,True,0,0,10.5,,Southampton,NO
female,16.0,woman,False,Third,no,False,5,2,46.9,,Southampton,NO
male,21.0,man,True,Second,no,True,0,0,73.5,,Southampton,NO
male,26.0,man,True,Third,no,False,1,0,14.4542,,Cherbourg,NO
male,32.0,man,True,Third,yes,True,0,0,56.4958,,Southampton,YES
male,25.0,man,True,Third,no,True,0,0,7.65,F,Southampton,NO
male,,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
male,,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,0.83,child,False,Second,yes,False,0,2,29.0,,Southampton,YES
female,30.0,woman,False,Third,yes,True,0,0,12.475,,Southampton,YES
male,22.0,man,True,Third,no,True,0,0,9.0,,Southampton,NO
male,29.0,man,True,Third,yes,True,0,0,9.5,,Southampton,YES
female,,woman,False,Third,yes,True,0,0,7.7875,,Queenstown,YES
male,28.0,man,True,First,no,True,0,0,47.1,,Southampton,NO
female,17.0,woman,False,Second,yes,True,0,0,10.5,,Southampton,YES
female,33.0,woman,False,Third,yes,False,3,0,15.85,,Southampton,YES
male,16.0,man,True,Third,no,False,1,3,34.375,,Southampton,NO
male,,man,True,Third,no,True,0,0,8.05,,Southampton,NO
female,23.0,woman,False,First,yes,False,3,2,263.0,C,Southampton,YES
male,24.0,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,29.0,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,20.0,man,True,Third,no,True,0,0,7.8542,,Southampton,NO
male,46.0,man,True,First,no,False,1,0,61.175,E,Southampton,NO
male,26.0,man,True,Third,no,False,1,2,20.575,,Southampton,NO
male,59.0,man,True,Third,no,True,0,0,7.25,,Southampton,NO
male,,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,71.0,man,True,First,no,True,0,0,34.6542,A,Cherbourg,NO
male,23.0,man,True,First,yes,False,0,1,63.3583,D,Cherbourg,YES
female,34.0,woman,False,Second,yes,False,0,1,23.0,,Southampton,YES
male,34.0,man,True,Second,no,False,1,0,26.0,,Southampton,NO
female,28.0,woman,False,Third,no,True,0,0,7.8958,,Southampton,NO
male,,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
male,21.0,man,True,First,no,False,0,1,77.2875,D,Southampton,NO
male,33.0,man,True,Third,no,True,0,0,8.6542,,Southampton,NO
male,37.0,man,True,Third,no,False,2,0,7.925,,Southampton,NO
male,28.0,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
female,21.0,woman,False,Third,yes,True,0,0,7.65,,Southampton,YES
male,,man,True,Third,yes,True,0,0,7.775,,Southampton,YES
male,38.0,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
female,,woman,False,Third,yes,False,1,0,24.15,,Queenstown,YES
male,47.0,man,True,First,no,True,0,0,52.0,C,Southampton,NO
female,14.5,child,False,Third,no,False,1,0,14.4542,,Cherbourg,NO
male,22.0,man,True,Third,no,True,0,0,8.05,,Southampton,NO
female,20.0,woman,False,Third,no,False,1,0,9.825,,Southampton,NO
female,17.0,woman,False,Third,no,True,0,0,14.4583,,Cherbourg,NO
male,21.0,man,True,Third,no,True,0,0,7.925,,Southampton,NO
male,70.5,man,True,Third,no,True,0,0,7.75,,Queenstown,NO
male,29.0,man,True,Second,no,False,1,0,21.0,,Southampton,NO
male,24.0,man,True,First,no,False,0,1,247.5208,B,Cherbourg,NO
female,2.0,child,False,Third,no,False,4,2,31.275,,Southampton,NO
male,21.0,man,True,Second,no,False,2,0,73.5,,Southampton,NO
male,,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,32.5,man,True,Second,no,False,1,0,30.0708,,Cherbourg,NO
female,32.5,woman,False,Second,yes,True,0,0,13.0,E,Southampton,YES
male,54.0,man,True,First,no,False,0,1,77.2875,D,Southampton,NO
male,12.0,child,False,Third,yes,False,1,0,11.2417,,Cherbourg,YES
male,,man,True,Third,no,True,0,0,7.75,,Queenstown,NO
male,24.0,man,True,Third,yes,True,0,0,7.1417,,Southampton,YES
female,,woman,False,Third,yes,False,1,1,22.3583,F,Cherbourg,YES
male,45.0,man,True,Third,no,True,0,0,6.975,,Southampton,NO
male,33.0,man,True,Third,no,True,0,0,7.8958,,Cherbourg,NO
male,20.0,man,True,Third,no,True,0,0,7.05,,Southampton,NO
female,47.0,woman,False,Third,no,False,1,0,14.5,,Southampton,NO
female,29.0,woman,False,Second,yes,False,1,0,26.0,,Southampton,YES
male,25.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
male,23.0,man,True,Second,no,True,0,0,15.0458,,Cherbourg,NO
female,19.0,woman,False,First,yes,False,0,2,26.2833,D,Southampton,YES
male,37.0,man,True,First,no,False,1,0,53.1,C,Southampton,NO
male,16.0,man,True,Third,no,True,0,0,9.2167,,Southampton,NO
male,24.0,man,True,First,no,True,0,0,79.2,B,Cherbourg,NO
female,,woman,False,Third,no,False,0,2,15.2458,,Cherbourg,NO
female,22.0,woman,False,Third,yes,True,0,0,7.75,,Southampton,YES
female,24.0,woman,False,Third,yes,False,1,0,15.85,,Southampton,YES
male,19.0,man,True,Third,no,True,0,0,6.75,,Queenstown,NO
male,18.0,man,True,Second,no,True,0,0,11.5,,Southampton,NO
male,19.0,man,True,Second,no,False,1,1,36.75,,Southampton,NO
male,27.0,man,True,Third,yes,True,0,0,7.7958,,Southampton,YES
female,9.0,child,False,Third,no,False,2,2,34.375,,Southampton,NO
male,36.5,man,True,Second,no,False,0,2,26.0,F,Southampton,NO
male,42.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
male,51.0,man,True,Second,no,True,0,0,12.525,,Southampton,NO
female,22.0,woman,False,First,yes,False,1,0,66.6,C,Southampton,YES
male,55.5,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,40.5,man,True,Third,no,False,0,2,14.5,,Southampton,NO
male,,man,True,Third,no,True,0,0,7.3125,,Southampton,NO
male,51.0,man,True,First,no,False,0,1,61.3792,,Cherbourg,NO
female,16.0,woman,False,Third,yes,True,0,0,7.7333,,Queenstown,YES
male,30.0,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,,man,True,Third,no,True,0,0,8.6625,,Southampton,NO
male,,man,True,Third,no,False,8,2,69.55,,Southampton,NO
male,44.0,man,True,Third,no,False,0,1,16.1,,Southampton,NO
female,40.0,woman,False,Second,yes,True,0,0,15.75,,Southampton,YES
male,26.0,man,True,Third,no,True,0,0,7.775,,Southampton,NO
male,17.0,man,True,Third,no,True,0,0,8.6625,,Southampton,NO
male,1.0,child,False,Third,no,False,4,1,39.6875,,Southampton,NO
male,9.0,child,False,Third,yes,False,0,2,20.525,,Southampton,YES
female,,woman,False,First,yes,False,0,1,55.0,E,Southampton,YES
female,45.0,woman,False,Third,no,False,1,4,27.9,,Southampton,NO
male,,man,True,First,no,True,0,0,25.925,,Southampton,NO
male,28.0,man,True,Third,no,True,0,0,56.4958,,Southampton,NO
male,61.0,man,True,First,no,True,0,0,33.5,B,Southampton,NO
male,4.0,child,False,Third,no,False,4,1,29.125,,Queenstown,NO
female,1.0,child,False,Third,yes,False,1,1,11.1333,,Southampton,YES
male,21.0,man,True,Third,no,True,0,0,7.925,,Southampton,NO
male,56.0,man,True,First,no,True,0,0,30.6958,A,Cherbourg,NO
male,18.0,man,True,Third,no,False,1,1,7.8542,,Southampton,NO
male,,man,True,Third,no,False,3,1,25.4667,,Southampton,NO
female,50.0,woman,False,First,no,True,0,0,28.7125,C,Cherbourg,NO
male,30.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
male,36.0,man,True,Third,no,True,0,0,0.0,,Southampton,NO
female,,woman,False,Third,no,False,8,2,69.55,,Southampton,NO
male,,man,True,Second,no,True,0,0,15.05,,Cherbourg,NO
male,9.0,child,False,Third,no,False,4,2,31.3875,,Southampton,NO
male,1.0,child,False,Second,yes,False,2,1,39.0,F,Southampton,YES
female,4.0,child,False,Third,yes,False,0,2,22.025,,Southampton,YES
male,,man,True,First,no,True,0,0,50.0,A,Southampton,NO
female,,woman,False,Third,yes,False,1,0,15.5,,Queenstown,YES
male,45.0,man,True,First,yes,True,0,0,26.55,,Southampton,YES
male,40.0,man,True,Third,no,False,1,1,15.5,,Queenstown,NO
male,36.0,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
female,32.0,woman,False,Second,yes,True,0,0,13.0,,Southampton,YES
male,19.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
female,19.0,woman,False,Third,yes,False,1,0,7.8542,,Southampton,YES
male,3.0,child,False,Second,yes,False,1,1,26.0,F,Southampton,YES
female,44.0,woman,False,First,yes,True,0,0,27.7208,B,Cherbourg,YES
female,58.0,woman,False,First,yes,True,0,0,146.5208,B,Cherbourg,YES
male,,man,True,Third,no,True,0,0,7.75,,Queenstown,NO
male,42.0,man,True,Third,no,False,0,1,8.4042,,Southampton,NO
female,,woman,False,Third,yes,True,0,0,7.75,,Queenstown,YES
female,24.0,woman,False,Second,no,True,0,0,13.0,,Southampton,NO
male,28.0,man,True,Third,no,True,0,0,9.5,,Southampton,NO
male,,man,True,Third,no,False,8,2,69.55,,Southampton,NO
male,34.0,man,True,Third,no,True,0,0,6.4958,,Southampton,NO
male,45.5,man,True,Third,no,True,0,0,7.225,,Cherbourg,NO
male,18.0,man,True,Third,yes,True,0,0,8.05,,Southampton,YES
female,2.0,child,False,Third,no,False,0,1,10.4625,G,Southampton,NO
male,32.0,man,True,Third,no,False,1,0,15.85,,Southampton,NO
male,26.0,man,True,Third,yes,True,0,0,18.7875,,Cherbourg,YES
female,16.0,woman,False,Third,yes,True,0,0,7.75,,Queenstown,YES
male,40.0,man,True,First,yes,True,0,0,31.0,A,Cherbourg,YES
male,24.0,man,True,Third,no,True,0,0,7.05,,Southampton,NO
female,35.0,woman,False,Second,yes,True,0,0,21.0,,Southampton,YES
male,22.0,man,True,Third,no,True,0,0,7.25,,Southampton,NO
male,30.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
male,,man,True,Third,no,False,1,0,7.75,,Queenstown,NO
female,31.0,woman,False,First,yes,False,1,0,113.275,D,Cherbourg,YES
female,27.0,woman,False,Third,yes,True,0,0,7.925,,Southampton,YES
male,42.0,man,True,Second,no,False,1,0,27.0,,Southampton,NO
female,32.0,woman,False,First,yes,True,0,0,76.2917,D,Cherbourg,YES
male,30.0,man,True,Second,no,True,0,0,10.5,,Southampton,NO
male,16.0,man,True,Third,yes,True,0,0,8.05,,Southampton,YES
male,27.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
male,51.0,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
male,38.0,man,True,First,yes,False,1,0,90.0,C,Southampton,YES
male,22.0,man,True,Third,no,True,0,0,9.35,,Southampton,NO
male,19.0,man,True,Second,yes,True,0,0,10.5,,Southampton,YES
male,20.5,man,True,Third,no,True,0,0,7.25,,Southampton,NO
male,18.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
female,,woman,False,Third,no,False,3,1,25.4667,,Southampton,NO
female,35.0,woman,False,First,yes,False,1,0,83.475,C,Southampton,YES
male,29.0,man,True,Third,no,True,0,0,7.775,,Southampton,NO
male,59.0,man,True,Second,no,True,0,0,13.5,,Southampton,NO
female,5.0,child,False,Third,yes,False,4,2,31.3875,,Southampton,YES
male,24.0,man,True,Second,no,True,0,0,10.5,,Southampton,NO
female,,woman,False,Third,no,True,0,0,7.55,,Southampton,NO
male,44.0,man,True,Second,no,False,1,0,26.0,,Southampton,NO
female,8.0,child,False,Second,yes,False,0,2,26.25,,Southampton,YES
male,19.0,man,True,Second,no,True,0,0,10.5,,Southampton,NO
male,33.0,man,True,Second,no,True,0,0,12.275,,Southampton,NO
female,,woman,False,Third,no,False,1,0,14.4542,,Cherbourg,NO
female,,woman,False,Third,yes,False,1,0,15.5,,Queenstown,YES
male,29.0,man,True,Second,no,True,0,0,10.5,,Southampton,NO
male,22.0,man,True,Third,no,True,0,0,7.125,,Southampton,NO
male,30.0,man,True,Third,no,True,0,0,7.225,,Cherbourg,NO
male,44.0,man,True,First,no,False,2,0,90.0,C,Queenstown,NO
female,25.0,woman,False,Third,no,True,0,0,7.775,,Southampton,NO
female,24.0,woman,False,Second,yes,False,0,2,14.5,,Southampton,YES
male,37.0,man,True,First,yes,False,1,1,52.5542,D,Southampton,YES
male,54.0,man,True,Second,no,False,1,0,26.0,,Southampton,NO
male,,man,True,Third,no,True,0,0,7.25,,Southampton,NO
female,29.0,woman,False,Third,no,False,1,1,10.4625,G,Southampton,NO
male,62.0,man,True,First,no,True,0,0,26.55,C,Southampton,NO
male,30.0,man,True,Third,no,False,1,0,16.1,,Southampton,NO
female,41.0,woman,False,Third,no,False,0,2,20.2125,,Southampton,NO
female,29.0,woman,False,Third,yes,False,0,2,15.2458,,Cherbourg,YES
female,,woman,False,First,yes,True,0,0,79.2,,Cherbourg,YES
female,30.0,woman,False,First,yes,True,0,0,86.5,B,Southampton,YES
female,35.0,woman,False,First,yes,True,0,0,512.3292,,Cherbourg,YES
female,50.0,woman,False,Second,yes,False,0,1,26.0,,Southampton,YES
male,,man,True,Third,no,True,0,0,7.75,,Queenstown,NO
male,3.0,child,False,Third,yes,False,4,2,31.3875,,Southampton,YES
male,52.0,man,True,First,no,False,1,1,79.65,E,Southampton,NO
male,40.0,man,True,First,no,True,0,0,0.0,B,Southampton,NO
female,,woman,False,Third,no,True,0,0,7.75,,Queenstown,NO
male,36.0,man,True,Second,no,True,0,0,10.5,,Southampton,NO
male,16.0,man,True,Third,no,False,4,1,39.6875,,Southampton,NO
male,25.0,man,True,Third,yes,False,1,0,7.775,,Southampton,YES
female,58.0,woman,False,First,yes,False,0,1,153.4625,C,Southampton,YES
female,35.0,woman,False,First,yes,True,0,0,135.6333,C,Southampton,YES
male,,man,True,First,no,True,0,0,31.0,,Southampton,NO
male,25.0,man,True,Third,yes,True,0,0,0.0,,Southampton,YES
female,41.0,woman,False,Second,yes,False,0,1,19.5,,Southampton,YES
male,37.0,man,True,First,no,False,0,1,29.7,C,Cherbourg,NO
female,,woman,False,Third,yes,True,0,0,7.75,,Queenstown,YES
female,63.0,woman,False,First,yes,False,1,0,77.9583,D,Southampton,YES
female,45.0,woman,False,Third,no,True,0,0,7.75,,Southampton,NO
male,,man,True,Second,no,True,0,0,0.0,,Southampton,NO
male,7.0,child,False,Third,no,False,4,1,29.125,,Queenstown,NO
female,35.0,woman,False,Third,yes,False,1,1,20.25,,Southampton,YES
male,65.0,man,True,Third,no,True,0,0,7.75,,Queenstown,NO
male,28.0,man,True,Third,no,True,0,0,7.8542,,Southampton,NO
male,16.0,man,True,Third,no,True,0,0,9.5,,Southampton,NO
male,19.0,man,True,Third,yes,True,0,0,8.05,,Southampton,YES
male,,man,True,First,no,True,0,0,26.0,A,Southampton,NO
male,33.0,man,True,Third,no,True,0,0,8.6625,,Cherbourg,NO
male,30.0,man,True,Third,yes,True,0,0,9.5,,Southampton,YES
male,22.0,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
male,42.0,man,True,Second,yes,True,0,0,13.0,,Southampton,YES
female,22.0,woman,False,Third,yes,True,0,0,7.75,,Queenstown,YES
female,26.0,woman,False,First,yes,True,0,0,78.85,,Southampton,YES
female,19.0,woman,False,First,yes,False,1,0,91.0792,B,Cherbourg,YES
male,36.0,man,True,Second,no,True,0,0,12.875,D,Cherbourg,NO
female,24.0,woman,False,Third,no,True,0,0,8.85,,Southampton,NO
male,24.0,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
male,,man,True,First,no,True,0,0,27.7208,,Cherbourg,NO
male,23.5,man,True,Third,no,True,0,0,7.2292,,Cherbourg,NO
female,2.0,child,False,First,no,False,1,2,151.55,C,Southampton,NO
male,,man,True,First,yes,True,0,0,30.5,C,Southampton,YES
female,50.0,woman,False,First,yes,False,0,1,247.5208,B,Cherbourg,YES
female,,woman,False,Third,yes,True,0,0,7.75,,Queenstown,YES
male,,man,True,Third,yes,False,2,0,23.25,,Queenstown,YES
male,19.0,man,True,Third,no,True,0,0,0.0,,Southampton,NO
female,,woman,False,Second,yes,True,0,0,12.35,E,Queenstown,YES
male,,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,0.92,child,False,First,yes,False,1,2,151.55,C,Southampton,YES
female,,woman,False,First,yes,True,0,0,110.8833,,Cherbourg,YES
female,17.0,woman,False,First,yes,False,1,0,108.9,C,Cherbourg,YES
male,30.0,man,True,Second,no,False,1,0,24.0,,Cherbourg,NO
female,30.0,woman,False,First,yes,True,0,0,56.9292,E,Cherbourg,YES
female,24.0,woman,False,First,yes,True,0,0,83.1583,C,Cherbourg,YES
female,18.0,woman,False,First,yes,False,2,2,262.375,B,Cherbourg,YES
female,26.0,woman,False,Second,no,False,1,1,26.0,,Southampton,NO
male,28.0,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
male,43.0,man,True,Second,no,False,1,1,26.25,,Southampton,NO
female,26.0,woman,False,Third,yes,True,0,0,7.8542,,Southampton,YES
female,24.0,woman,False,Second,yes,False,1,0,26.0,,Southampton,YES
male,54.0,man,True,Second,no,True,0,0,14.0,,Southampton,NO
female,31.0,woman,False,First,yes,False,0,2,164.8667,C,Southampton,YES
female,40.0,woman,False,First,yes,False,1,1,134.5,E,Cherbourg,YES
male,22.0,man,True,Third,no,True,0,0,7.25,,Southampton,NO
male,27.0,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
female,30.0,woman,False,Second,yes,True,0,0,12.35,,Queenstown,YES
female,22.0,woman,False,Second,yes,False,1,1,29.0,,Southampton,YES
male,,man,True,Third,no,False,8,2,69.55,,Southampton,NO
female,36.0,woman,False,First,yes,True,0,0,135.6333,C,Cherbourg,YES
male,61.0,man,True,Third,no,True,0,0,6.2375,,Southampton,NO
female,36.0,woman,False,Second,yes,True,0,0,13.0,D,Southampton,YES
female,31.0,woman,False,Third,yes,False,1,1,20.525,,Southampton,YES
female,16.0,woman,False,First,yes,False,0,1,57.9792,B,Cherbourg,YES
female,,woman,False,Third,yes,False,2,0,23.25,,Queenstown,YES
male,45.5,man,True,First,no,True,0,0,28.5,C,Southampton,NO
male,38.0,man,True,First,no,False,0,1,153.4625,C,Southampton,NO
male,16.0,man,True,Third,no,False,2,0,18.0,,Southampton,NO
female,,woman,False,First,yes,False,1,0,133.65,,Southampton,YES
male,,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
male,29.0,man,True,First,no,False,1,0,66.6,C,Southampton,NO
female,41.0,woman,False,First,yes,True,0,0,134.5,E,Cherbourg,YES
male,45.0,man,True,Third,yes,True,0,0,8.05,,Southampton,YES
male,45.0,man,True,First,no,True,0,0,35.5,,Southampton,NO
male,2.0,child,False,Second,yes,False,1,1,26.0,F,Southampton,YES
female,24.0,woman,False,First,yes,False,3,2,263.0,C,Southampton,YES
male,28.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
male,25.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
male,36.0,man,True,Second,no,True,0,0,13.0,,Southampton,NO
female,24.0,woman,False,Second,yes,True,0,0,13.0,F,Southampton,YES
female,40.0,woman,False,Second,yes,True,0,0,13.0,,Southampton,YES
female,,woman,False,Third,yes,False,1,0,16.1,,Southampton,YES
male,3.0,child,False,Third,yes,False,1,1,15.9,,Southampton,YES
male,42.0,man,True,Third,no,True,0,0,8.6625,,Southampton,NO
male,23.0,man,True,Third,no,True,0,0,9.225,,Southampton,NO
male,,man,True,First,no,True,0,0,35.0,C,Southampton,NO
male,15.0,child,False,Third,no,False,1,1,7.2292,,Cherbourg,NO
male,25.0,man,True,Third,no,False,1,0,17.8,,Southampton,NO
male,,man,True,Third,no,True,0,0,7.225,,Cherbourg,NO
male,28.0,man,True,Third,no,True,0,0,9.5,,Southampton,NO
female,22.0,woman,False,First,yes,False,0,1,55.0,E,Southampton,YES
female,38.0,woman,False,Second,no,True,0,0,13.0,,Southampton,NO
female,,woman,False,Third,yes,True,0,0,7.8792,,Queenstown,YES
female,,woman,False,Third,yes,True,0,0,7.8792,,Queenstown,YES
male,40.0,man,True,Third,no,False,1,4,27.9,,Southampton,NO
male,29.0,man,True,Second,no,False,1,0,27.7208,,Cherbourg,NO
female,45.0,woman,False,Third,no,False,0,1,14.4542,,Cherbourg,NO
male,35.0,man,True,Third,no,True,0,0,7.05,,Southampton,NO
male,,man,True,Third,no,False,1,0,15.5,,Queenstown,NO
male,30.0,man,True,Third,no,True,0,0,7.25,,Southampton,NO
female,60.0,woman,False,First,yes,False,1,0,75.25,D,Cherbourg,YES
female,,woman,False,Third,yes,True,0,0,7.2292,,Cherbourg,YES
female,,woman,False,Third,yes,True,0,0,7.75,,Queenstown,YES
female,24.0,woman,False,First,yes,True,0,0,69.3,B,Cherbourg,YES
male,25.0,man,True,First,yes,False,1,0,55.4417,E,Cherbourg,YES
male,18.0,man,True,Third,no,False,1,0,6.4958,,Southampton,NO
male,19.0,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,22.0,man,True,First,no,True,0,0,135.6333,,Cherbourg,NO
female,3.0,child,False,Third,no,False,3,1,21.075,,Southampton,NO
female,,woman,False,First,yes,False,1,0,82.1708,,Cherbourg,YES
female,22.0,woman,False,Third,yes,True,0,0,7.25,,Southampton,YES
male,27.0,man,True,First,no,False,0,2,211.5,C,Cherbourg,NO
male,20.0,man,True,Third,no,True,0,0,4.0125,,Cherbourg,NO
male,19.0,man,True,Third,no,True,0,0,7.775,,Southampton,NO
female,42.0,woman,False,First,yes,True,0,0,227.525,,Cherbourg,YES
female,1.0,child,False,Third,yes,False,0,2,15.7417,,Cherbourg,YES
male,32.0,man,True,Third,no,True,0,0,7.925,,Southampton,NO
female,35.0,woman,False,First,yes,False,1,0,52.0,,Southampton,YES
male,,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
male,18.0,man,True,Second,no,True,0,0,73.5,,Southampton,NO
male,1.0,child,False,Third,no,False,5,2,46.9,,Southampton,NO
female,36.0,woman,False,Second,yes,True,0,0,13.0,,Southampton,YES
male,,man,True,Third,no,True,0,0,7.7292,,Queenstown,NO
female,17.0,woman,False,Second,yes,True,0,0,12.0,,Cherbourg,YES
male,36.0,man,True,First,yes,False,1,2,120.0,B,Southampton,YES
male,21.0,man,True,Third,yes,True,0,0,7.7958,,Southampton,YES
male,28.0,man,True,Third,no,False,2,0,7.925,,Southampton,NO
female,23.0,woman,False,First,yes,False,1,0,113.275,D,Cherbourg,YES
female,24.0,woman,False,Third,yes,False,0,2,16.7,G,Southampton,YES
male,22.0,man,True,Third,no,True,0,0,7.7958,,Southampton,NO
female,31.0,woman,False,Third,no,True,0,0,7.8542,,Southampton,NO
male,46.0,man,True,Second,no,True,0,0,26.0,,Southampton,NO
