tweet,class
Hey  at leat you got SOMETHING. Know what we get at work  as I found out 2day? NADDA! Bah hum bug! Damn scrooges!,Bullying
I hate giving little kids antibiotics...10 days 2 a day and important they get it all down...impossible!,Bullying
thats what you get for being a fat ass....FAT ASS...,Bullying
like I said  I wouldn't even do it with your dick!,Bullying
@ember_myst @spellchaser Just so you know  I'm staking my claim on etherist. I am in full on crush! Sucks that he's married. :P,Bullying
He's an asshole. I'd fucking bean him  for love of the game. Not starring Kevin Costner.,Bullying
Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.,Bullying
fuck u BIATCH!!!,Bullying
 Everyone Look  This Girl Was Using Missy Lockes Pictures And I Told Her She Was Fake  Then She Was Like Im Not Fake  Then She Took Bettys Pictures. SHES DUMB! http://www.formspring.me/LMT23,Bullying
Ugh  twitter stop it  you fucking slut.,Bullying
cant wait to get FUCKED THE FUCK UP,Bullying
 Learn how to spell? Learn how to tell apart a typo from a spelling error.   And learn how to be a proper fake.,Bullying
Listen  RayRay  I gave you the lowdown as soon as I got it. I hadn't heard it b4 and I was shocked. She seems to hate his guts.,Bullying
you are GAY!!!!!,Bullying
fuck yeah they do!,Bullying
sucks for you,Bullying
damn girl. that was fire!,Bullying
I cunt wait for u to start shitting out the gifts I sent jew.,Bullying
 I see (:,Bullying
hard to kick ass yourself with slippers on?  On it.,Bullying
yes...and they are about to be fucking DISOWNED. *grumble*,Bullying
I'm all about peace n positivity  but sometimes you gotta give a little kid an ass whoopin' !,Bullying
slap a bitch? What you want to do is CHOKE A BITCH like Wayne Brady!,Bullying
Then I would be gay and I would kill myself. Don't become a boy  please.,Bullying
Yes! All of those twitters were directed at Frank Miller and his horrible screen play! DAMN YOU FRANK MILLER ILL KEEL YOU!,Bullying
just use water  loser.,Bullying
whoa be nice guys.. Whats all this FOOL and LOSER talk?,Bullying
damn you have really become an ordinary man... man that sucks ass!!! lol :P,Bullying
 Because they are FUCKING DUMB and annoying,Bullying
I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?,Bullying
social network whore!,Bullying
damn  that is pimp!,Bullying
and the arabs pussy count reaches 250 million. There I said it  we're all a bunch of pussies. No offence to the pussies,Bullying
"a bolt flew of the trucks tire and hit my windshield. Cracked the fuck of of it.""",Bullying
I hate you so much you stupid New York... douche. bagel.,Bullying
oooh that sucks. ibuprofin,Bullying
You have no idea how damn tempting that is. I've already procrastinated by drawing roads and zebra crossings ;),Bullying
holy fucking jesus mother  gad damnit WTF? wow.,Bullying
dawns a Fucking twat and @occultclassic that is the best song on the album,Bullying
 dont talk to rubinathy15 she is stupid,Bullying
it's like gay people using the f word.  somehow  allowed.,Bullying
I'm doing nothing. I was thinking about going to the Flaming Lips concert  but hate going alone.,Bullying
Connection interrupted. God damn.,Bullying
..........I hate SUVs. They're a great big ugly road hazard as far as I'm concerned. And very few people really NEED them.,Bullying
"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?",Bullying
Damn girl ... Your house was dirty.,Bullying
I hate them. I eat them for dessert. I will keep following you. I believe in your cause,Bullying
bitch was craaaaaaaazzzzzzzzzzy!,Bullying
Hard to play because it is damn fucking awful,Bullying
Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,Bullying
Fat Tire. Steak Taquitos. RocketTransfer.com. AJ's on Court in DSM.,Bullying
fuck off dude  don't waste my time...,Bullying
damn -- http://tinyurl.com/7b7nze,Bullying
yikes. That sucks. Sorry to hear that.,Bullying
that karma is a bitch  HUH,Bullying
ah damn man! Good Luck!! You can do eeeeit!!!,Bullying
"HAHAHA. tom cruise ""I WILL FUCK YOU UP""",Bullying
I hate you,Bullying
thanks sugar  i get a little sensitive here and there. damn holidaze!,Bullying
eeeeew  I wanna cum ;),Bullying
wow that really sucks. LOL.,Bullying
YAY OR NAY OR GAY?,Bullying
Not really. Atlantis was okay. Old Star Gate on now. Was about to watch Numbers. Might do Sudoku instead unless u ready u fuck :),Bullying
so fucking angry all the time,Bullying
 yeah it sucks i know  she was one spankin hot mofo,Bullying
less #damn-fridays  more #bad_wookie_pun,Bullying
lulz. fat chance!  good news is no bacn from friends adding you :D,Bullying
Fuck dude  you manage to do this every week!,Bullying
Is like putting Lipstick on a Pig!  You were perogued! LIVE WITH IT! #canadawest,Bullying
You won't miss much.  Her husband is cheating  she's pregnant  he's an ax murderer  her son is gay. That's pretty much the soaps,Bullying
Also  you are not Canadian  fuck.,Bullying
holy fucking jesus mother  gad damnit WTF? wow.,Bullying
thank you  she's such a big baby. lol But such an incredible dog. hate to think of life without her pain in the butt self,Bullying
whaha ja maar het is zon raar idee dat ze dat lezen xD en dat BOB FUCKING BRYAR iets tegen me 'gezegt' heeft xD je moet vragen o,Bullying
you must be bored...you are a twitter whore today. ;),Bullying
way to fuck up a perfect opportunity to call yourself Z-Co!!!!,Bullying
whats the operating system on it? i have windows vista and vista sucks bad..it is full of bugs still. shuts down and freezing alot,Bullying
that karma is a bitch  HUH,Bullying
uh bitch wtf is that suppose to mean?,Bullying
All of my friends are married gay  or have been burned so badly they don't want 2 even think about another relationship :o( I've,Bullying
Stop getting so damn skinny and maybe your pants will fit! =P,Bullying
you're a fucking bully  man.,Bullying
You don't even know that half  trust me sallie mae is the one bitch I wish I could divorce right now,Bullying
slap a bitch? What you want to do is CHOKE A BITCH like Wayne Brady!,Bullying
"I hate ""Rag and Bone"" so much.",Bullying
I blame Alexx for making me put 'I love to say fuck' on my ipod,Bullying
That's gay. Poor MCR.,Bullying
ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,Bullying
it's emo because you used a razor. An explained joke isn't funny. :(,Bullying
damn that caller ID,Bullying
Yeah it was four years ago  but I have a long memory. I also still hate the Avalanche even though they've sucked for years. :},Bullying
damn.,Bullying
I'm kinda meh on it--It wouldn't even be a contest as Madonna would kick his ass while he was running around screaming.,Bullying
that's killer. Wish it was even cool here. But it's been damn near 80 most of the week. No where near festive temps.,Bullying
http://twitpic.com/v2mo - lol.. hate u both..,Bullying
LIKE BITCH WUSSUP! Ahahaha,Bullying
you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,Bullying
oh yeah! Radios powered by pork fat!,Bullying
That doesn't sound nice at all. As somebody who was made redundant with one day to trade last year with Swatch  I know it sucks!,Bullying
oh. yeah. no loving for nikki. poor nikki. she's too emo.,Bullying
"no-sign. i dont fuck with ""rats""",Bullying
i hate you,Bullying
Gypsy bitch!!!!!,Bullying
biiiiiishop! - fuck u want? - yo ass punk...,Bullying
"I'm laughing at your ""Don't hate me  please.""  Can you imagine a man ever saying that?  Not to be gender specific  but...",Bullying
too right XD Gordon Brown can officially kiss my ass! Freak!,Bullying
fuck yeah. swing by sometime (after the 17th) and i'll take you to rocco's. yeah  think about that.,Bullying
was that a racial comment? on it's going down!! bitch!,Bullying
Thai sucks too many peanuts,Bullying
jealous! I will still hug u  lick ur face off  grab ur ass  and dry hump u a little bit when I c u.  Whatever!,Bullying
you said fuck everyone!,Bullying
dude so weird  i feel like good will stole one of my best friends too  Damn the man,Bullying
wow - mommy's little cheerleader! *must... not... take... the...piss......*,Bullying
Cuz u wanna fuck ricky martin,Bullying
 Hey aujala r,Bullying
really? Thank fucking god for sleeping pills!,Bullying
the cock is just a figure head on favrd,Bullying
cont. and you must RT EVERY LITTLE THING someone says  then DAMN do I feel SORRY for you and your friends.,Bullying
rogue. I hate you and your ability to spell correctly. though some of them were red  but they were communist. not rouge.,Bullying
did you see Mike Huckabee on Daily Show earlier this week? It got pretty intense with gay marriage topic.,Bullying
dude that sucks!,Bullying
Fuck off naturally as opposed to artificially?,Bullying
I hate it SO SO SO MUCH.,Bullying
you damn betcha,Bullying
well mine are double flared  so they are a fucking homo bitch cunt to get out. aggrivation!,Bullying
this makes mme smile lol. I hate him. But we still dont bring him up bc to us he is dead and non-existant.,Bullying
meh. All year round baby. They're actually growing like fuck at the moment  except for the caterpillar incident yesterday.,Bullying
who the fuck is bur`li?,Bullying
I can share my gay boyfriend. He just left. Its 1 in the morning. You totally coulda had him from 9 to 1! Ill keep first shift,Bullying
yikes. That sucks. Sorry to hear that.,Bullying
 yeah  its seems like most of the time unexplained highs are related to a bad site or fat delays,Bullying
Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,Bullying
"Read your post  ""Sincerity Sucks.""  Thank you! I feel less guilty for holding certain ""sincere"" people accountable for actions",Bullying
TWITTER SLUT!,Bullying
Drake.  He knows his mother was a bitch.,Bullying
fat guys are immoral  there should be a proposition to keep them from marrying  VOTE YES,Bullying
@markmancao haha. i love it! gay nights for all!,Bullying
hate to tell you but it only gets worse  we're at 1440 in the UK and all my office wants to jump out the window!,Bullying
This week in fuck?,Bullying
he won't wanna pet the guinea pig?,Bullying
sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,Bullying
Holy shit just looking at that list pisses me off. Why the fuck are the Jonas Brothers on there?,Bullying
Ugh  twitter stop it  you fucking slut.,Bullying
 OMG that sucks! D:,Bullying
lmao  i hate you. &lt;3,Bullying
lol i think she's a huge bitch BUT she's good at what she does and is entertaining at times :),Bullying
hate u,Bullying
fuck the krebs cycle.,Bullying
I'll be a crab ass with you. BAH HUMBUG!,Bullying
Damn dude...,Bullying
http://twitpic.com/py9p - HER ass is on top,Bullying
everything but you. Everything but you sucks.,Bullying
I don't care about leakage. Fuck the person sitting next to me in coach. (actually I do care),Bullying
Oh my fucking ~*gawd. *eye roll*,Bullying
lol you'd go gay for Zac Efron,Bullying
cuz montana sucks?,Bullying
 lets fucking go tonight... you know you want to! Or at least hang out. I fucking hate being alone sometimes too.,Bullying
http://twitpic.com/pyb6 - is a very naughty panda  always has her ass up in the air.,Bullying
she doesnt want to scar you for life like i could.  cant talk her into sending you the video of they guy with the jar in his ass.,Bullying
@alwaysgayalways You both need to watch/rewatch it. But more to sate your nerd jones than your gay-wadishness.,Bullying
yeah  it sucks. 6 yrs down here & realizing we dont get snow. just ice. and nobody can drive in rain  let alone ice,Bullying
i fucking hate that word  hahaha.,Bullying
"I still think you should be prouder of the ""Fuck fuck fuck!"" but ""Rock!"" is pretty good. When will you be teaching her ""FUCK YEAH""?",Bullying
 pig 100% pig,Bullying
i am  just so behind now . . it sucks.,Bullying
so i said listen cunt.. i hope your year brings prosperity and happiness. and then i got my gun  and blew her brains out.,Bullying
old ass nigga!,Bullying
700. you glutinous bitch!,Bullying
...fuck jared leto. i forgot it was his bday. 25th HIS BIRTH 26th MY BIRTH ECHELON THROUGH THE BACK DOOOOR.,Bullying
yeah... it sucks...,Bullying
this job would be great if it wasnt for the fucking customers,Bullying
i hate those DIY post office things here in #ALB. no matter what the lines are still insane.,Bullying
DM. damn.,Bullying
"No. Being ""down"" 5lbs is a bad thing when you're a scrawny nerd who's trying to bulk up. :)",Bullying
"yeah apparently anytime you use the word ""hate"" on a tweet  your ass gets retweeted and subsequently followed.  Reminds me of &#9773;.",Bullying
aye  it sucks when you end up in that situation where you don't know what to do book learnin' is anti fucked. imo.,Bullying
ARGH!  I hate that too!,Bullying
yeah. subconscious sucks sometimes. always telling me what I'm doing is wrong. Most of the time it's not. :),Bullying
coz it is attended by a lot of FAT people. You don't want me to show you the pics  do you? Oh  you were in it too!,Bullying
damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,Bullying
 yeah it sucks i know  she was one spankin hot mofo,Bullying
 pissed off? I'm ready to go Mumbai on their fucking asses. We're too soft. We need to start blowing shit up.,Bullying
katrinaneufeld Does a French whore smell better or worse than ur down home Blackstone variety?,Bullying
FUCK NO I AINT PARTYN LIK DAT JAYLA U STUPID,Bullying
I do but I picture the fat guy in the leotard,Bullying
i hate her in every movie. she has one look. you know the look haha,Bullying
fuck...  lemme know if you'd like to work at criagslist,Bullying
if anyone's a loser  it's YOU.,Bullying
Damn! Sounds like heart attack inducing combo.,Bullying
It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,Bullying
Damn near indeed! But in the end  their youthful impetuosity gave it away. It didn't feel like SL actually won it  incredibly!,Bullying
QuantumOfSuck is a wannabe Transporter 3...,Bullying
 LOL FAT NIGGAZ UNITE FATRON!!! HAHAHAHA,Bullying
We loovveee chicken.  Damn i do also so I really shouldn't complain.  And since I found the chicken i am in a better mood.,Bullying
Do you really have a big man ass?,Bullying
She says i have gubgivits? teeth thingies and she stole more blood. every six months with the blood stealing it sucks.,Bullying
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,Bullying
man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,Bullying
I hate that  just finished round 4 of rough revisions for a client... can't they just be clear and concise at the get go?,Bullying
OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,Bullying
fuck. :( &lt;3,Bullying
 We're having a BAD ASS gathering in May  you should come. Of course  the best part is the hanging out downtown after. :),Bullying
stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),Bullying
damn you.,Bullying
A COMMUNIST FUCKING DICTATORSHIP! Fuck Che Guevara. And all the t-shirts with him on them and those that wear them.,Bullying
 yeah and I woulda gotten away with it if it wasnt for you damn kids...,Bullying
I don't wanna sound gay or nuthin'  but that sir... is an arousing pic.,Bullying
i literally could not breathe. that was so fucking scary.,Bullying
damn. lol. let me try something else. hot lesbian sex. nekked girl on girl. free porn.,Bullying
i hate you :P happy birthday dude  good to know your enjoying it,Bullying
Damn dog  didnt call them like I said to? Well I is working till around 9ish,Bullying
 Totally agree with you.  Fuck Prop 8.  very cool that apple came out publicly against 8 on the website.,Bullying
*twitch* I. Hate. You. J/k.,Bullying
HOLY FUCK! that was one tough fucking cow!,Bullying
thanks  the nerd in me is overjoyed,Bullying
how so? It's more reasonable cause of the smaller age difference...plus Mikey's always sex deprived so he's a fucking animal.,Bullying
big mistake. we gotta even it out. who da fuck else is in!,Bullying
DAMN IT EDDIE!,Bullying
Savor my ass. ;-p,Bullying
i SENT it!!!!!!!! u'll prob get it in like a billion years since cingular SUCKS!!!!,Bullying
dont hate too hard!  it hasn't been very warm here lately!,Bullying
Fuck you  McGaffigan. I WANT TO GO. NAO!,Bullying
lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.,Bullying
Damn straight I am!  I want to be 50ft!  I also want to play Barbarella.  I'd be much better than Rose McGowan.,Bullying
I would have done it by now tbh. I have no words except just WHAT THE SHITTING FUCK ARE THEY THINKING!,Bullying
i literally could not breathe. that was so fucking scary.,Bullying
..........I hate SUVs. They're a great big ugly road hazard as far as I'm concerned. And very few people really NEED them.,Bullying
aw dammit  I meant to call @graemem a lame-duck Scotsman. Thanks for fixing my lame-ass miss of a joke!,Bullying
oh. yeah. no loving for nikki. poor nikki. she's too emo.,Bullying
oh no!! that sucks!,Bullying
Alan  I think you might as well give my spot away to someone else. I'm just too damn sick to sound like my charity is good. :'(,Bullying
I love New HAmpshire well the white Mounts.I'm from Maine and I know I hate cold also hence why I moved to Fla.,Bullying
Oh  that sucks. Why I blew off my own appointment yesterday. I just couldn't face the wait.,Bullying
Wtf. Fuck you,Bullying
damn iPhone that's SHITE. Learn English slang,Bullying
motherfucker stop drinking Red Bull ADDICT! watch ulcers eat at your stomach lining bitch!,Bullying
what happens when you run out of Word of the Gay words. :),Bullying
She makes me sick. She thinks she's cool and youthful cuz she watches that show. Phony bitch.,Bullying
you work in cape cod. why the fuck am i up so early. argh  stupid cousin &brother.,Bullying
Damn Girl! Aww  that'll be cake at the rate YOU are chalking them up. Nice seasonal pic and awesome tweets btw.,Bullying
http://twitpic.com/rt32 - omg :/ sucks to be u. hope u got some good tunes going makes it more delightful to sit through.,Bullying
How does he feel about marmite? Love It or Hate It?,Bullying
i am going to work on a grassroots gay rights project that will involve the communities of color.,Bullying
Tell them you want YouTube to quit fucking with things that no one wants fucked with.,Bullying
fuck the krebs cycle.,Bullying
It's just crazy. This boy is fucking up my sleep schedule. Probably why I don't mind too much. ;),Bullying
wow that really sucks. LOL.,Bullying
 eat a dick you complain about texas all day shove it it! you just got told your suck a dick! so eat one,Bullying
Maybe you should get your dick out of your ear next time I'm explaining them to you!!,Bullying
 RT this then GO fuck yourself stay the FUCL out of lives and HOPEFULLY you'll die a Horrendous DEATH for all to WATCH ,Bullying
/nerd *laugh*,Bullying
crutches suck big time. i hate them lol. hope you get better soon! :P,Bullying
I'll love him in the biblical sense  just as soon as they chop his emo hair off.,Bullying
i hate you.,Bullying
bitch was craaaaaaaazzzzzzzzzzy!,Bullying
why would i accuse you  im SUPER FUCKING JESLOUS OF YOU,Bullying
lol... I have ass too..,Bullying
i hate u like miniature dogs hate people dressing them in t-shirts and little booties.,Bullying
you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready,Bullying
beast my pussy  bitch. LMAO...that's creepy.,Bullying
I hate math really do!but will be happy as well when I finish university!,Bullying
 Stop Calling Tabi &quot;Fake&quot; Obviously Your The Fake Bitch That Don&;t Have A Life I Don&;t Know Tabi But She Seems Like A Nice Person.,Bullying
Rooster is LARRY'S bitch!,Bullying
OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),Bullying
yo... you should have another show tomorrow cuz we had to record the past two days... damn albums...,Bullying
maybe you should go punch him in the dick.,Bullying
lawl. Sucks to be THEM  then.,Bullying
damn that's fucked up Hawthorne is out of the way,Bullying
Epic WINS for Fuck City&lt;3,Bullying
that sucks;{,Bullying
I hate you.,Bullying
NOOO EP!!!! That really sucks! You should hve jst waited in the car...lol!!! Hopefully it;s dark in there & no one looks dow ...,Bullying
i'm with you on the new yrs res! i'm 10lbs chubbier than i was 8 mos ago and i ALSO thought i was completely immune to fat! :(,Bullying
GO GIVE YOUR GAY LADYBOY HUSBAND AN OILY BODY MASSAGE WHY DON'T YOU. AND @yourscenesucks yes its true.,Bullying
All those people who hate Hillary are the same ones who voted for her husband and loved her before Obama.  Just seems strange.,Bullying
