name,japanese_name,generation,classfication,type1,type2,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,attack,defense,sp_attack,sp_defense,capture_rate,experience_growth,speed,height_m,weight_kg,hp,pokedex_number,is_legendary
Spearow,Onisuzumeオニスズメ,1,Tiny Bird Pokémon,normal,flying,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,262,60,30,31,31,255,1000000,70,0.3,2.0,40,21,No
Fearow,Onidrillオニドリル,1,Beak Pokémon,normal,flying,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,442,90,65,61,61,90,1000000,100,1.2,38.0,65,22,No
Ekans,Arboアーボ,1,Snake Pokémon,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120,70,288,60,44,40,54,255,1000000,55,2.0,6.9,35,23,No
Arbok,Arbokアーボック,1,Cobra Pokémon,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120,70,448,95,69,65,79,90,1000000,80,3.5,65.0,60,24,No
Pikachu,Pikachuピカチュウ,1,Mouse Pokémon,electric,,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2560,70,320,55,40,50,50,190,1000000,90,0.4,6.0,35,25,No
Raichu,Raichuライチュウ,1,Mouse Pokémon,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2560,70,485,85,50,95,85,75,1000000,110,,,60,26,No
Sandshrew,Sandサンド,1,Mouse Pokémon,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120,70,300,75,90,10,35,255,1000000,40,,,50,27,No
Sandslash,Sandpanサンドパン,1,Mouse Pokémon,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120,70,450,100,120,25,65,90,1000000,65,,,75,28,No
Nidoran♀,Nidoran?ニドラン♀,1,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120,70,275,47,52,40,40,235,1059860,41,0.4,7.0,55,29,No
Nidorina,Nidorinaニドリーナ,1,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120,70,365,62,67,55,55,120,1059860,56,0.8,20.0,70,30,No
Nidoqueen,Nidoqueenニドクイン,1,Drill Pokémon,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,5120,70,505,92,87,75,85,45,1059860,76,1.3,60.0,90,31,No
Nidoran♂,Nidoran?ニドラン♂,1,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120,70,273,57,40,40,40,235,1059860,50,0.5,9.0,46,32,No
Nidorino,Nidorinoニドリーノ,1,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120,70,365,72,57,55,55,120,1059860,65,0.9,19.5,61,33,No
Nidoking,Nidokingニドキング,1,Drill Pokémon,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,5120,70,505,102,77,85,75,45,1059860,85,1.4,62.0,81,34,No
Clefairy,Pippiピッピ,1,Fairy Pokémon,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2560,140,323,45,48,60,65,150,800000,35,0.6,7.5,70,35,No
Clefable,Pixyピクシー,1,Fairy Pokémon,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2560,140,483,70,73,95,90,25,800000,60,1.3,40.0,95,36,No
Vulpix,Rokonロコン,1,Fox Pokémon,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,299,41,40,50,65,190,1000000,65,,,38,37,No
Ninetales,Kyukonキュウコン,1,Fox Pokémon,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,505,67,75,81,100,75,1000000,109,,,73,38,No
Jigglypuff,Purinプリン,1,Balloon Pokémon,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2560,70,270,45,20,45,25,170,800000,20,0.5,5.5,115,39,No
Wigglytuff,Pukurinプクリン,1,Balloon Pokémon,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2560,70,435,70,45,85,50,50,800000,45,1.0,12.0,140,40,No
Zubat,Zubatズバット,1,Bat Pokémon,poison,flying,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,3840,70,245,45,35,30,40,255,1000000,55,0.8,7.5,40,41,No
Golbat,Golbatゴルバット,1,Bat Pokémon,poison,flying,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,3840,70,455,80,70,65,75,90,1000000,90,1.6,55.0,75,42,No
Oddish,Nazonokusaナゾノクサ,1,Weed Pokémon,grass,poison,"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120,70,320,50,55,75,65,255,1059860,30,0.5,5.4,45,43,No
Gloom,Kusaihanaクサイハナ,1,Weed Pokémon,grass,poison,"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120,70,395,65,70,85,75,120,1059860,40,0.8,8.6,60,44,No
Vileplume,Ruffresiaラフレシア,1,Flower Pokémon,grass,poison,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120,70,490,80,85,110,90,45,1059860,50,1.2,18.6,75,45,No
Paras,Parasパラス,1,Mushroom Pokémon,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,5120,70,285,70,55,45,55,190,1000000,25,0.3,5.4,35,46,No
Parasect,Parasectパラセクト,1,Mushroom Pokémon,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,5120,70,405,95,80,60,80,75,1000000,30,1.0,29.5,60,47,No
Venonat,Kongpangコンパン,1,Insect Pokémon,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,5120,70,305,55,50,40,55,190,1000000,45,1.0,30.0,60,48,No
Venomoth,Morphonモルフォン,1,Poison Moth Pokémon,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,5120,70,450,65,60,90,75,75,1000000,90,1.5,12.5,70,49,No
Diglett,Digdaディグダ,1,Mole Pokémon,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120,70,265,55,30,35,45,255,1000000,90,,,10,50,No
Dugtrio,Dugtrioダグトリオ,1,Mole Pokémon,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120,70,425,100,60,50,70,50,1000000,110,,,35,51,No
Meowth,Nyarthニャース,1,Scratch Cat Pokémon,normal,dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,290,35,35,50,40,255,1000000,90,,,40,52,No
Persian,Persianペルシアン,1,Classy Cat Pokémon,normal,dark,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,440,60,60,75,65,90,1000000,115,,,65,53,No
Psyduck,Koduckコダック,1,Duck Pokémon,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,320,52,48,65,50,190,1000000,55,0.8,19.6,50,54,No
Golduck,Golduckゴルダック,1,Duck Pokémon,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,500,82,78,95,80,75,1000000,85,1.7,76.6,80,55,No
Mankey,Mankeyマンキー,1,Pig Monkey Pokémon,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120,70,305,80,35,35,45,190,1000000,70,0.5,28.0,40,56,No
Primeape,Okorizaruオコリザル,1,Pig Monkey Pokémon,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120,70,455,105,60,60,70,75,1000000,95,1.0,32.0,65,57,No
Growlithe,Gardieガーディ,1,Puppy Pokémon,fire,,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,350,70,45,70,50,190,1250000,60,0.7,19.0,55,58,No
Arcanine,Windieウインディ,1,Legendary Pokémon,fire,,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,555,110,80,100,80,75,1250000,95,1.9,155.0,90,59,No
Poliwag,Nyoromoニョロモ,1,Tadpole Pokémon,water,,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,300,50,40,40,40,255,1059860,90,0.6,12.4,40,60,No
Poliwhirl,Nyorozoニョロゾ,1,Tadpole Pokémon,water,,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,385,65,65,50,50,120,1059860,90,1.0,20.0,65,61,No
Poliwrath,Nyorobonニョロボン,1,Tadpole Pokémon,water,fighting,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,5120,70,510,95,95,70,90,45,1059860,70,1.3,54.0,90,62,No
Abra,Caseyケーシィ,1,Psi Pokémon,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120,70,310,20,15,105,55,200,1059860,90,0.9,19.5,25,63,No
Kadabra,Yungererユンゲラー,1,Psi Pokémon,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120,70,400,35,30,120,70,100,1059860,105,1.3,56.5,40,64,No
Alakazam,Foodinフーディン,1,Psi Pokémon,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120,70,600,50,65,175,105,50,1059860,150,1.5,48.0,55,65,No
Machop,Wanrikyワンリキー,1,Superpower Pokémon,fighting,,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120,70,305,80,50,35,35,180,1059860,35,0.8,19.5,70,66,No
Machoke,Gorikyゴーリキー,1,Superpower Pokémon,fighting,,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120,70,405,100,70,50,60,90,1059860,45,1.5,70.5,80,67,No
Machamp,Kairikyカイリキー,1,Superpower Pokémon,fighting,,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120,70,505,130,80,65,85,45,1059860,55,1.6,130.0,90,68,No
Bellsprout,Madatsubomiマダツボミ,1,Flower Pokémon,grass,poison,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120,70,300,75,35,70,30,255,1059860,40,0.7,4.0,50,69,No
Weepinbell,Utsudonウツドン,1,Flycatcher Pokémon,grass,poison,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120,70,390,90,50,85,45,120,1059860,55,1.0,6.4,65,70,No
Victreebel,Utsubotウツボット,1,Flycatcher Pokémon,grass,poison,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120,70,490,105,65,100,70,45,1059860,70,1.7,15.5,80,71,No
Tentacool,Menokurageメノクラゲ,1,Jellyfish Pokémon,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,5120,70,335,40,35,50,100,190,1250000,70,0.9,45.5,40,72,No
Tentacruel,Dokukurageドククラゲ,1,Jellyfish Pokémon,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,5120,70,515,70,65,80,120,60,1250000,100,1.6,55.0,80,73,No
Geodude,Isitsubuteイシツブテ,1,Rock Pokémon,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,3840,70,300,80,100,30,30,255,1059860,20,,,40,74,No
Graveler,Goloneゴローン,1,Rock Pokémon,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,3840,70,390,95,115,45,45,120,1059860,35,,,55,75,No
Golem,Golonyaゴローニャ,1,Megaton Pokémon,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,3840,70,495,120,130,55,65,45,1059860,45,,,80,76,No
Ponyta,Ponytaポニータ,1,Fire Horse Pokémon,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,410,85,55,65,65,190,1000000,90,1.0,30.0,50,77,No
Rapidash,Gallopギャロップ,1,Fire Horse Pokémon,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,500,100,70,80,80,60,1000000,105,1.7,95.0,65,78,No
Slowpoke,Yadonヤドン,1,Dopey Pokémon,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,5120,70,315,65,65,40,40,190,1000000,15,1.2,36.0,90,79,No
Slowbro,Yadoranヤドラン,1,Hermit Crab Pokémon,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,5120,70,590,75,180,130,80,75,1000000,30,1.6,78.5,95,80,No
