Age,Job,Marital_Status,Education,Has_Credit,Housing_Loan,Personal_Loan,Contact,Duraction_Contact,Number_Contacts,Prev_Outcome,Employment_VarRate,Consumer_PriceIndex,Consumer_Confidence,Month_Rate,Employees,Client_Subscribed
30,blue-collar,married,basic,no,no,no,cellular,988,1,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
45,blue-collar,single,basic,no,no,no,telephone,185,1,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
39,services,married,basic,no,no,no,telephone,126,2,nonexistent,1.1,93.994,-36.4,4.86,5191,no
26,blue-collar,married,basic,no,no,no,telephone,389,1,nonexistent,1.1,93.994,-36.4,4.859,5191,no
49,blue-collar,married,basic,no,no,no,cellular,139,2,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30,services,divorced,basic,no,no,no,telephone,177,1,nonexistent,1.1,93.994,-36.4,4.86,5191,no
41,blue-collar,married,basic,no,no,no,telephone,216,1,nonexistent,1.1,93.994,-36.4,4.856,5191,no
52,blue-collar,married,basic,no,no,no,telephone,136,2,nonexistent,1.1,93.994,-36.4,4.859,5191,no
34,unemployed,married,basic,no,no,no,cellular,123,2,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
33,blue-collar,married,basic,no,no,yes,telephone,9,1,nonexistent,-1.7,94.215,-40.3,0.827,4991.6,no
36,housemaid,married,basic,no,no,no,cellular,73,2,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
31,blue-collar,single,basic,no,no,no,telephone,285,2,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,no
41,admin,divorced,basic,no,no,no,telephone,141,1,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
31,technician,married,basic,no,no,yes,cellular,1319,5,nonexistent,1.4,93.918,-42.7,4.958,5228.1,yes
46,services,married,basic,no,no,yes,cellular,227,2,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
50,admin,married,basic,no,no,no,cellular,23,14,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
31,blue-collar,married,basic,no,no,no,cellular,103,2,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
32,blue-collar,married,basic,no,no,no,cellular,299,3,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
33,blue-collar,single,basic,no,no,yes,cellular,807,3,failure,-1.8,92.893,-46.2,1.291,5099.1,no
40,blue-collar,married,basic,no,no,no,telephone,258,2,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
39,blue-collar,married,basic,no,no,no,telephone,393,1,nonexistent,1.1,93.994,-36.4,4.855,5191,no
35,technician,single,basic,no,no,no,cellular,178,1,failure,-0.1,93.2,-42,4.12,5195.8,no
43,blue-collar,married,basic,no,no,no,telephone,218,3,nonexistent,1.1,93.994,-36.4,4.859,5191,no
28,blue-collar,married,basic,no,no,no,cellular,189,1,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
31,blue-collar,single,basic,no,no,no,telephone,767,2,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
31,unemployed,single,basic,no,no,no,cellular,12,8,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
34,blue-collar,married,basic,no,no,no,telephone,381,3,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
45,housemaid,single,basic,no,no,no,telephone,569,4,nonexistent,-3.4,92.379,-29.8,0.797,5017.5,yes
34,technician,married,basic,no,no,no,cellular,103,1,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
36,technician,married,basic,no,no,no,cellular,316,2,failure,-1.8,93.075,-47.1,1.405,5099.1,no
32,blue-collar,married,basic,no,no,yes,cellular,80,4,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
47,blue-collar,divorced,basic,no,no,no,cellular,295,1,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
50,housemaid,divorced,basic,no,no,no,telephone,57,1,nonexistent,-1.1,94.199,-37.5,0.877,4963.6,no
27,blue-collar,married,basic,no,no,yes,telephone,1170,1,nonexistent,1.1,93.994,-36.4,4.855,5191,no
29,entrepreneur,married,basic,no,no,no,cellular,103,4,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
46,blue-collar,married,basic,no,no,no,cellular,471,3,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
35,blue-collar,divorced,basic,no,no,yes,telephone,131,1,nonexistent,1.1,93.994,-36.4,4.856,5191,no
34,blue-collar,married,basic,no,no,no,telephone,78,2,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
37,services,single,basic,no,no,no,cellular,37,1,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
39,blue-collar,single,basic,no,no,no,telephone,650,3,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
38,blue-collar,married,basic,no,no,no,telephone,177,3,nonexistent,1.1,93.994,-36.4,4.857,5191,no
28,blue-collar,single,basic,no,no,no,telephone,557,1,nonexistent,1.1,93.994,-36.4,4.855,5191,no
31,blue-collar,married,basic,no,no,no,telephone,280,6,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
34,admin,single,basic,no,no,no,cellular,22,11,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
36,technician,divorced,basic,no,no,no,telephone,372,1,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
51,blue-collar,married,basic,no,no,yes,telephone,653,1,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
57,admin,married,basic,no,no,no,cellular,259,1,failure,-1.8,92.893,-46.2,1.259,5099.1,no
51,unemployed,married,basic,no,no,no,cellular,280,2,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
38,blue-collar,married,basic,no,no,no,cellular,161,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
43,blue-collar,married,basic,no,no,yes,cellular,197,2,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
31,management,married,basic,no,no,yes,telephone,161,2,nonexistent,1.1,93.994,-36.4,4.858,5191,no
54,management,married,basic,no,no,no,telephone,255,3,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
41,blue-collar,single,basic,no,no,no,cellular,128,1,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
38,services,married,basic,no,no,yes,telephone,177,2,nonexistent,-2.9,92.963,-40.8,1.224,5076.2,no
29,blue-collar,single,basic,no,no,no,telephone,411,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
47,services,divorced,basic,no,no,no,cellular,149,2,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
42,blue-collar,married,basic,no,no,no,cellular,212,1,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
47,admin,married,basic,no,no,no,cellular,164,1,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
35,blue-collar,married,basic,no,no,no,telephone,39,1,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,basic,no,no,no,telephone,497,2,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
36,blue-collar,married,basic,no,no,yes,cellular,217,1,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
29,blue-collar,single,basic,no,no,no,cellular,68,1,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
29,technician,single,basic,no,no,no,cellular,20,1,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
54,blue-collar,single,basic,no,no,no,telephone,253,3,nonexistent,1.1,93.994,-36.4,4.86,5191,no
59,retired,married,basic,no,no,no,cellular,551,4,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
34,blue-collar,single,basic,no,no,no,cellular,484,3,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
34,blue-collar,single,basic,no,no,no,cellular,281,2,failure,-1.8,92.893,-46.2,1.299,5099.1,no
48,services,married,basic,no,no,no,cellular,69,6,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
28,blue-collar,single,basic,no,no,no,cellular,218,1,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,no
41,services,married,basic,no,no,no,telephone,335,1,nonexistent,1.1,93.994,-36.4,4.856,5191,no
34,blue-collar,married,basic,no,no,no,cellular,192,3,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
42,blue-collar,married,basic,no,no,no,telephone,92,5,nonexistent,1.1,93.994,-36.4,4.857,5191,no
23,housemaid,single,basic,no,no,yes,cellular,9,6,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
30,blue-collar,single,basic,no,no,no,telephone,207,1,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,blue-collar,single,basic,no,no,yes,telephone,869,2,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
30,entrepreneur,divorced,basic,no,no,yes,cellular,149,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
22,services,single,basic,no,no,no,telephone,91,1,nonexistent,1.1,93.994,-36.4,4.858,5191,no
50,blue-collar,divorced,basic,no,no,no,cellular,150,5,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
35,housemaid,married,basic,no,no,no,telephone,108,2,nonexistent,1.1,93.994,-36.4,4.855,5191,no
35,services,single,basic,no,no,no,cellular,102,5,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
29,blue-collar,married,basic,no,no,yes,telephone,168,3,nonexistent,1.1,93.994,-36.4,4.859,5191,no
34,blue-collar,married,basic,no,no,yes,telephone,23,1,nonexistent,1.1,93.994,-36.4,4.86,5191,no
34,blue-collar,married,basic,no,no,no,telephone,206,1,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
34,blue-collar,single,basic,no,no,no,cellular,204,2,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
56,retired,married,basic,no,no,no,cellular,130,3,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
42,blue-collar,divorced,basic,no,no,no,cellular,111,3,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
38,blue-collar,married,basic,no,no,no,cellular,239,1,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
28,technician,single,basic,no,no,no,cellular,223,1,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
27,services,single,basic,no,no,no,telephone,93,2,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,single,basic,no,no,no,telephone,81,2,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
35,blue-collar,divorced,basic,no,no,no,telephone,138,4,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
38,services,married,basic,no,no,no,telephone,31,1,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
31,entrepreneur,divorced,basic,no,no,no,cellular,152,2,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
55,services,married,basic,no,no,yes,cellular,64,1,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
33,blue-collar,married,basic,no,no,no,cellular,728,1,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,yes
46,entrepreneur,married,basic,no,no,no,telephone,245,1,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
43,self-employed,married,basic,no,no,yes,cellular,206,5,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
52,services,married,basic,no,no,yes,cellular,161,2,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
40,admin,married,basic,no,no,no,telephone,224,1,nonexistent,1.1,93.994,-36.4,4.856,5191,no
25,blue-collar,married,basic,no,no,no,cellular,420,2,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
30,blue-collar,single,basic,no,no,no,telephone,83,11,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
49,blue-collar,married,basic,no,no,no,cellular,383,3,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
54,unemployed,married,basic,no,no,no,cellular,193,1,success,-1.8,92.893,-46.2,1.27,5099.1,yes
36,blue-collar,married,basic,no,no,no,cellular,193,1,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
54,retired,married,basic,no,no,yes,cellular,164,2,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
78,retired,married,basic,no,no,no,cellular,1148,1,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,yes
31,services,married,basic,no,no,no,cellular,74,2,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
80,retired,married,basic,no,no,no,cellular,382,1,success,-1.8,93.876,-40,0.697,5008.7,yes
33,blue-collar,married,basic,no,no,no,telephone,1183,1,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
29,blue-collar,single,basic,no,no,yes,cellular,107,2,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,yes
55,blue-collar,married,basic,no,no,no,cellular,525,2,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
38,blue-collar,married,basic,no,no,no,telephone,333,1,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
36,blue-collar,single,basic,no,no,no,cellular,234,2,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
36,blue-collar,married,basic,no,no,no,telephone,360,2,nonexistent,1.1,93.994,-36.4,4.859,5191,no
34,blue-collar,married,basic,no,no,yes,cellular,50,1,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
50,blue-collar,married,basic,no,no,no,cellular,1130,3,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
25,blue-collar,single,basic,no,no,no,cellular,170,2,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
31,blue-collar,married,basic,no,no,no,telephone,439,2,nonexistent,1.1,93.994,-36.4,4.857,5191,no
48,unemployed,divorced,basic,no,no,yes,telephone,119,2,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
27,blue-collar,single,basic,no,no,no,telephone,68,3,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,blue-collar,married,basic,no,no,no,telephone,78,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
29,blue-collar,married,basic,no,no,no,cellular,342,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
48,blue-collar,married,basic,no,no,no,telephone,284,2,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,blue-collar,divorced,basic,no,no,no,cellular,64,1,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
54,technician,married,basic,no,no,no,cellular,112,1,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
32,technician,married,basic,no,no,no,cellular,271,5,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
28,unemployed,single,basic,no,no,yes,cellular,261,1,failure,-1.7,94.027,-38.3,0.899,4991.6,yes
54,entrepreneur,married,basic,no,no,yes,telephone,249,6,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
34,blue-collar,married,basic,no,no,no,cellular,168,3,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
42,technician,divorced,basic,no,no,no,telephone,474,1,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,blue-collar,single,basic,no,no,no,cellular,313,1,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
40,unemployed,single,basic,no,no,no,cellular,355,1,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,yes
37,housemaid,married,basic,no,no,no,cellular,56,4,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,services,single,basic,no,no,no,cellular,168,1,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
30,self-employed,single,basic,no,no,yes,telephone,5,1,nonexistent,-1.1,94.601,-49.5,0.953,4963.6,no
61,retired,married,basic,no,no,no,cellular,165,2,nonexistent,-1.8,93.749,-34.6,0.659,5008.7,no
49,blue-collar,married,basic,no,no,no,telephone,199,4,nonexistent,1.1,93.994,-36.4,4.856,5191,no
51,management,married,basic,no,no,no,cellular,104,2,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
41,blue-collar,single,basic,no,no,no,telephone,74,1,nonexistent,1.1,93.994,-36.4,4.86,5191,no
34,blue-collar,married,basic,no,no,no,cellular,223,1,failure,-0.1,93.2,-42,4.076,5195.8,no
55,blue-collar,divorced,basic,no,no,no,cellular,278,1,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
25,blue-collar,single,basic,no,no,no,telephone,107,19,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
26,blue-collar,married,basic,no,no,no,cellular,232,1,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
31,blue-collar,married,basic,no,no,no,cellular,715,1,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
52,retired,married,basic,no,no,no,telephone,633,1,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
36,blue-collar,single,basic,no,no,no,cellular,238,1,nonexistent,-1.1,94.767,-50.8,1.046,4963.6,yes
48,services,divorced,basic,no,no,no,cellular,134,1,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
31,blue-collar,married,basic,no,no,no,telephone,301,1,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,technician,married,basic,no,no,no,telephone,72,1,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
48,entrepreneur,married,basic,no,no,no,cellular,119,1,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
41,blue-collar,married,basic,no,no,no,telephone,142,1,nonexistent,1.1,93.994,-36.4,4.859,5191,no
56,retired,single,basic,no,no,no,cellular,102,2,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
43,services,married,basic,no,no,no,telephone,110,17,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
39,technician,married,basic,no,no,no,cellular,88,3,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
28,blue-collar,married,basic,no,no,yes,telephone,329,1,nonexistent,1.1,93.994,-36.4,4.858,5191,no
44,entrepreneur,divorced,basic,no,no,no,cellular,170,2,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
53,blue-collar,married,basic,no,no,no,cellular,545,1,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
53,admin,married,basic,no,no,no,telephone,35,1,nonexistent,1.1,93.994,-36.4,4.858,5191,no
45,admin,married,basic,no,no,yes,cellular,268,2,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
39,housemaid,married,basic,no,no,no,cellular,183,1,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
22,blue-collar,single,basic,no,no,no,cellular,106,1,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
40,blue-collar,married,basic,no,no,no,cellular,181,1,failure,-0.1,93.2,-42,4.153,5195.8,no
38,blue-collar,married,basic,no,no,no,telephone,693,3,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
44,blue-collar,married,basic,no,no,no,cellular,556,3,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
65,housemaid,married,basic,no,no,no,cellular,89,2,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,no
26,blue-collar,single,basic,no,no,no,telephone,83,2,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
42,blue-collar,married,basic,no,no,no,telephone,110,4,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
25,blue-collar,married,basic,no,no,no,cellular,114,2,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
49,blue-collar,divorced,basic,no,no,no,cellular,55,1,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
26,blue-collar,married,basic,no,no,no,cellular,45,2,failure,-1.8,92.893,-46.2,1.334,5099.1,no
56,retired,married,basic,no,no,no,telephone,88,2,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,blue-collar,married,basic,no,no,no,telephone,21,9,nonexistent,1.1,93.994,-36.4,4.855,5191,no
50,blue-collar,married,basic,no,no,no,telephone,128,6,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
34,blue-collar,married,basic,no,no,no,telephone,606,1,nonexistent,1.1,93.994,-36.4,4.859,5191,no
39,blue-collar,single,basic,no,no,no,cellular,93,1,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
48,housemaid,married,basic,no,no,no,cellular,248,1,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
34,blue-collar,divorced,basic,no,no,no,cellular,204,5,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
30,blue-collar,married,basic,no,no,no,telephone,338,1,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
29,blue-collar,married,basic,no,no,no,cellular,202,2,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
39,blue-collar,married,basic,no,no,no,telephone,281,2,failure,-0.1,93.2,-42,4.076,5195.8,no
54,blue-collar,married,basic,no,no,no,cellular,50,1,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
48,blue-collar,married,basic,no,no,no,telephone,984,4,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
56,blue-collar,married,basic,no,no,no,cellular,422,1,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
58,self-employed,married,basic,no,no,no,cellular,83,2,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
41,admin,married,basic,no,no,no,cellular,1203,2,failure,-1.8,93.075,-47.1,1.479,5099.1,yes
35,blue-collar,married,basic,no,no,no,telephone,15,3,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
28,blue-collar,married,basic,no,no,no,cellular,549,1,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
34,blue-collar,married,basic,no,no,no,cellular,234,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
35,services,married,basic,no,no,yes,telephone,98,1,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
29,blue-collar,single,basic,no,no,no,telephone,69,2,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
32,blue-collar,married,basic,no,no,yes,cellular,188,2,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
43,unemployed,divorced,basic,no,no,no,cellular,398,7,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
45,services,divorced,basic,no,no,no,cellular,296,1,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
27,blue-collar,single,basic,no,no,no,cellular,284,1,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
47,management,married,basic,no,no,yes,telephone,216,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
30,blue-collar,single,basic,no,no,no,cellular,92,4,failure,-1.8,92.893,-46.2,1.25,5099.1,no
23,blue-collar,single,basic,no,no,no,cellular,250,4,failure,-1.7,94.215,-40.3,0.846,4991.6,yes
29,blue-collar,married,basic,no,no,no,cellular,16,7,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
