tweet,class,polarity,hate,target,aggressiveness
@LaFallaras @ahorapodemos @iunida @PSOE @Esquerra_ERC @compromis @SofCastanon @Adrilastra @Irene_Montero_ @abrazopartio @AAlvarezAlvarez @gabrielrufian @Pablo_Iglesias_ @agarzon Tu serías la más hija de puta de mauthausen.,Yes violence,negative,no hateful,no targeted,no aggressive
Almmmmm como te mama hablar de los demás pinche morra estupida,Yes violence,negative,hateful,targeted,aggressive
@InesArrimadas que patética eres!!!!!! https://t.co/HVPK735Mqc,Yes violence,negative,hateful,targeted,aggressive
"La Greta esa sí q es lista con 15 años no va al instituto, quejándose de cosas que no tiene ni puta idea, cobrando 500.000 por cada charla y encima dice que le hemos quitado la infancia y yo aquí estudiando como un matao",Yes violence,negative,no hateful,no targeted,no aggressive
"@InesArrimadas Patetica , repetitiva, mentirosa . Cuando hablas de corrupcion , con quien gobiernas en Andalucia, Madrid, CyL?",Yes violence,negative,hateful,targeted,aggressive
@GretaThunberg Como puedes ser tan tonta. Si viajabas en primera clase y te trataron como 1 reina. Eso no lo dices? Y seguro k mo pagaste el viaje. Como tampoco el hotel en Madrid y todas las payasadas k haces. Espero k no vuelvas a España porque eres 1 ridícula marioneta,Yes violence,negative,hateful,targeted,aggressive
@_AllaMiaEta Peor que Greta. Greta da menos pena ajena que está tonta diciendo estupideces,Yes violence,negative,no hateful,no targeted,no aggressive
@AdaColau @openarms_fund Estas loca de remate.Internate,Yes violence,neutral,hateful,targeted,aggressive
@la_patilla Ósea que ella cree que el hombre más importante del mundo no tiene influencia en salvar el planeta . Estupida Greta,Yes violence,negative,no hateful,no targeted,no aggressive
"@MiamiVox Pues ya conozco 2 casos más de pedirles dinero.
El juicio de la, Arandina E lo que ha traído. 

Y los pobres que pagarán.",Yes violence,negative,hateful,no targeted,no aggressive
@Cannabianol Greta puta,Yes violence,negative,hateful,targeted,aggressive
"Volveré a publicar esto porque quiero que la gente sepa que Greta Thunberg no solo es una niña con antifa, sino que le gusta disparar. Me parece una agencia muy payasa. https://t.co/txSWFV8OUJ",Yes violence,negative,hateful,no targeted,no aggressive
Greta puta :),Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Que inútil eres, que cortita eres, que ilusa eres,  que patética sigues siendo",Yes violence,negative,hateful,targeted,aggressive
nada mas llegar a barcelona entro al metro y hay un pavo gritando un discursito de por que greta thumberg esta loca,Yes violence,negative,no hateful,no targeted,no aggressive
@cesarolse No pero Greta es una niña estúpida q dice mentiras,Yes violence,negative,hateful,targeted,aggressive
@LaFallaras 4 de cada 10 hombres son puteros?? Y eso te lo ha contado tu padre o tu Puta madre?,Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras Si estas con bildu eres una etarra... y por consiguiente una hija de la gran puta.,Yes violence,negative,no hateful,no targeted,no aggressive
Que malaaaaaa lechee puta greta pero quieen es esa niñaaaa. El bombo que la querais daaar que sabe ella de ma vida que monolgos tiene que daaaaaar deee verdad,Yes violence,negative,no hateful,no targeted,no aggressive
@InesArrimadas @jjrr99 @elmundoes Claro que sí poligonera y tú de ministra de Educación con esa boquita de piñón que tienes loca,Yes violence,negative,hateful,targeted,no aggressive
"La revista @TIME se ha prestado para el Timo, en muchas ocasiones. Ya había ocurrido con Hitler en 1938. Hoy @GretaThunberg, una Progre ""niña mocosa"" (@jairbolsonaro dixit), q designan Persona del Año, porq parece q ha salvado al mundo cuando no ha hecho un coño. #NoMeJodan https://t.co/eVYK0zDhmc",Yes violence,negative,no hateful,no targeted,no aggressive
"ustedes: lo de greta thunberg es admirable 🙌🏻😍💪🏻✊🏻
also ustedes: ofelia fernandez? tremenda estupida es muy joven y gorda",Yes violence,neutral,hateful,targeted,aggressive
"@InesArrimadas 10 escaños, loca del coño.",Yes violence,neutral,no hateful,no targeted,no aggressive
"@monasterioR @julia_otero Religión quereis imponer vosotr@s con la puta iglesia, zorra.",Yes violence,negative,hateful,targeted,aggressive
@GretaThunberg Tu eres gilipollas!,Yes violence,neutral,no hateful,no targeted,no aggressive
@InesArrimadas No tienes ni puta idea!,Yes violence,negative,no hateful,no targeted,no aggressive
"#MarchaPorElClima en la TV dicen que los niños preguntan, ¿Donde está Greta? Niños os diré donde debería estar, EN EL PUTO COLEGIO.",Yes violence,negative,no hateful,no targeted,no aggressive
@InesArrimadas Jajajja revienta zorra ... ahora vas y lo cascas a los jueces europeos a la 💩 contigo 🎗🎗🎗🎗🖕,Yes violence,negative,hateful,targeted,aggressive
@InesArrimadas No te canses patética. Habrá gobierno y tu seguiras ladrando a la luna.,Yes violence,negative,hateful,targeted,aggressive
@YolandaRuizCe Malala es una buena mujer la greta es una loca que predica pero no aplica,Yes violence,positive,no hateful,no targeted,no aggressive
"2019 
- fanta sabor semen
- argentina en la shit 
- mexico mas dividido que la chingada igual que tus papas 
- area 51 
- los putos tenis FILA 
- tik tok 
- el pais lleno de violencia 
- ya ni tengo puta skill en r6
- el anime dalas 
- peluchin y los demas mecos
- greta tu verga https://t.co/vS8yXoNOSG",Yes violence,negative,hateful,no targeted,aggressive
"@AnabelAlonso_of Por culpa de lerdas como tú, ahora estamos de puta madre.",Yes violence,negative,no hateful,no targeted,no aggressive
@InesArrimadas Calla mala puta.,Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras @CristinaSegui_ @alfonso_ussia @bertrandmyd @publico_es ERES PATETICA, COMO PERSONA Y COMO MUJER¡¡¡¡¡¡¡",Yes violence,negative,hateful,targeted,aggressive
"@Irene_Montero_ patetica, solo te ha faltado llorar. No se puden decir mas disparatesven menos tiempo , pero tus acolitos te aclamaran.",Yes violence,negative,hateful,no targeted,no aggressive
@InesArrimadas LOCA...... ERES LOOOCA,Yes violence,negative,hateful,targeted,aggressive
@LaFallaras @paulasusaetas @emesotomayor Hay que estar subnormal  para leer a una loca alcoholica,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas @CiudadanosCs Se llama democracia, payasa facha fracasada...",Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Eres patética,lo tuyo no tiene cura,cuanto más #MontesElPollo, más ridícula eres.",Yes violence,negative,hateful,targeted,aggressive
"@Robespierredea2 @PorRobledo @pnique Seguro que también opinas lo mismo de la Greta majareta, que también debería estar en el colegio. ¿ o esa como es comunista puede estar donde quiera?",Yes violence,neutral,no hateful,no targeted,no aggressive
@Irene_Montero_ @MayoralRafa @Yolanda_Diaz_ @AntonGomezReino @Pam_Angela_ Hija perra,Yes violence,negative,hateful,targeted,aggressive
@OsogordoIntenso hagamos un hilo sobre la hija de mil puta de Greta Thumberga?,Yes violence,negative,no hateful,no targeted,no aggressive
@Richi1078 @WRadioColombia @GretaThunberg Por lo menos hace mucho más que tú y tu puta madrecita.... https://t.co/AWcv3TW4Go,Yes violence,negative,no hateful,no targeted,no aggressive
"Esto lo ha visto histérica Greta????
Lo sabe el felón???
Y el miserable e hipócrita Bardem?
Y....R. Gere????

Uffff qué disgusto se van a llevar cuándo se enteren...😱😯🤔🤔🤔 https://t.co/dMRFva7UKc",Yes violence,negative,no hateful,no targeted,no aggressive
"@GretaThunberg Cállate de una puta vez por dios, que pareces una muñeca programada, ahora la culpa es de la gente, excluyendo empresas y políticos que les firman lo que sea. Esta niña debe dejar de fomentar estas putas barbaridades, espero que le estén dando dinero por lo q suelta de su boca.",Yes violence,negative,no hateful,no targeted,no aggressive
@el_pais Y ponen a la loca esquizofrenia de Greta Thunberg como símbolo de los que tienen 22 años 😂😂😂😂,Yes violence,neutral,no hateful,no targeted,no aggressive
"@InesArrimadas Montapollos @InesArrimadas  coge a tus 9 Diputados y vete a tomar por saco, patética facha neurótica, FUCK Arrimadas",Yes violence,negative,hateful,targeted,aggressive
"Me gustó caleta la dirección de Greta Gerwig. La loca tiene un control sobre el montaje que es impresionante, su uso de los colores es de todo mi gusto y lo que mas me impresionó es sentir que la película tomaba rumbos diferentes dependiendo de si habían o no hombres en escena.",Yes violence,positive,no hateful,no targeted,no aggressive
"@LaFallaras Calla petarda, que si no fuera por el cuento feminista del que vives, estsrias viviendo en la puta calle por no haber currado en la puta vida",Yes violence,negative,hateful,targeted,aggressive
@cayetanaAT Miserable hija de puta,Yes violence,negative,hateful,targeted,aggressive
Dudu es el verdadero heroe activista que necesitamos y no a la puta greta,Yes violence,positive,no hateful,no targeted,no aggressive
@cayetanaAT Cállate perra indolente,Yes violence,negative,hateful,targeted,aggressive
@AdaColau Eres gilipollas y lo sabes. Payasa,Yes violence,negative,hateful,targeted,aggressive
"@monasterioR Joder, Rocío, parece que tú has ido al cine no a ""emborracharte de ideología"", más parece que hayas ido borracha de tú sabrás qué, y no has entendido una puta mierda mierda.",Yes violence,negative,no hateful,no targeted,no aggressive
"@AnabelAlonso_of Qué vergueza de tuit, payasa",Yes violence,negative,hateful,targeted,aggressive
@GretaThunberg Ojalá digas la verdad de quienes t financian y dejes de ser una puta pendeja malcriada nena de mamá y papá comunista q aman los dólares y euros,Yes violence,negative,hateful,targeted,aggressive
@LaFallaras @populares @CiudadanosCs Tus padres tienen que ser hermanos mínimo  xk sino salir así es imposible 🤮🤮 puta cínica de mierda 🤮🤮🤮,Yes violence,negative,hateful,targeted,aggressive
@LaFallaras Puta?La gente no está tan desesperada para ir contigo ni pagando,Yes violence,negative,hateful,no targeted,no aggressive
"@InesArrimadas @EFEnoticias LO VERGONZOSO ESQUE UNA TIPA COMO TU ESTE EN POLITICA, MONTA POLLOS ,GENERA ODIO ENTRE ESPAÑOLES, MIENTES COMO UNA LOCA, MANIPULAS TODO Y A TODOS,
ERES UN VENENO Y EL CANCER DE ESTE PAIS,  OS QUEDAN MENOS DE CUATRO AÑOS
TIC TAC TIC TAC.",Yes violence,negative,hateful,targeted,aggressive
"@monasterioR Ideología de mi coño, puta nazi de mierda!",Yes violence,negative,hateful,targeted,aggressive
@monasterioR @julia_otero Yo creo que ésta estúpida no sabe si está delante de un tractor ó de un tanque 💩💩,Yes violence,negative,hateful,targeted,aggressive
@monerohernandez Greta la loca 😀,Yes violence,positive,no hateful,no targeted,no aggressive
"@GretaThunberg Chupame la pija pendeja zurda.

#2019in5words",Yes violence,negative,hateful,targeted,aggressive
SOY LA UNICA PELOTUDA QUE LE DA MIEDO VOMITAR? 🤔😭,Yes violence,negative,no hateful,no targeted,no aggressive
"bien por Bolsonaro, es una estúpida la greta y unos vividores los que la están utilizando https://t.co/540cLnLEL0",Yes violence,negative,no hateful,no targeted,no aggressive
@coco_marfil @Adolfoantifaz Greta Majareta pasa de eso,Yes violence,neutral,no hateful,no targeted,no aggressive
@Mrlopera__ Don manue verdad... y la greta? Ande se ha metio?! Ha Huido la perra...,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Vete un poquito solo un poquito a la puta MUERDA.
DEGENERADA",Yes violence,negative,hateful,targeted,aggressive
